route ID	weather	n_components	p	q	peaks	heights
0	bad	8	0.0	0.0	[7.61, 11.61, 15.92]	[0.135, 0.125, 0.139]
0	good	9	0.0	0.0	[7.51, 12.11, 15.32]	[0.127, 0.123, 0.131]
1	bad	8	0.0	0.0	[7.61, 11.61, 14.71, 18.02, 21.42]	[0.141, 0.143, 0.142, 0.139, 0.132]
1	good	10	0.0	0.0	[7.61, 11.81, 14.61, 21.22]	[0.136, 0.142, 0.142, 0.132]
2	bad	10	0.0	0.0	[7.91, 10.91, 12.51, 15.62]	[0.178, 0.157, 0.157, 0.181]
2	good	9	0.0	0.0	[7.71, 11.11, 15.62]	[0.166, 0.156, 0.173]
3	bad	6	0.0	0.0	[11.91, 16.22]	[0.173, 0.197]
3	good	7	0.0	0.0	[11.51, 15.62]	[0.176, 0.18]
4	bad	7	0.0	0.0	[7.91, 11.71, 16.12]	[0.168, 0.152, 0.163]
4	good	9	0.0	0.0	[7.31, 12.21, 15.92]	[0.152, 0.151, 0.159]
5	bad	6	0.0	0.0	[7.61, 11.71, 15.62]	[0.065, 0.06, 0.066]
5	good	10	0.0	0.0	[7.41, 12.01, 15.22]	[0.06, 0.06, 0.062]
