test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
route_0_weekend,24.0,4.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999999963453,0.9999999999999999,0.012122693032143285,0.7536861175134483,0.7513733111051238,3587.310679159925,0.008713544328225867,2.9623426223038893,0.11499311824961389,[12.68468468],[0.12370655],[4.08408408],[0.10627961],0.007403639039590922,0.003772070114476265
route_0_workday,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9975312652052213,0.9999999999999999,0.09064613394505361,0.6776904332003806,0.6756203653339733,11933.846774231333,0.014194418329804476,-1.9623161319720026,0.1223575888853553,[ 7.4954955  12.25225225 15.56756757],[0.1353675  0.12413074 0.13654992],[ 2.54654655  5.23723724  9.51351351 20.51651652],[0.10816366 0.11389974 0.12111723 0.11728305],0.010578699127460837,0.005395296779850329
route_1_weekend,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.8336055730783984,0.9999999999999999,0.010728551640941511,0.8254496977624535,0.8212937381853691,3639.905117295538,0.013083015894166904,-3.018947895341543,0.13077720594748424,[11.53153153 14.07807808 18.01801802 20.13213213 22.82282282],[0.14385835 0.13848642 0.13498507 0.13494425 0.13079376],[ 0.67267267  2.93093093  5.14114114  7.3993994  21.81381381],[0.11917713 0.120685   0.11769495 0.11919973 0.12813574],0.007014637151168202,0.0035738054349439803
route_1_workday,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.8511875966106872,0.9999999999999999,0.07620527598788163,0.7115028130593969,0.7096820671651678,12447.736816444927,0.012683791176168899,-1.9874740310998495,0.1303978036899569,[ 7.59159159 11.96396396 14.7027027  21.42942943],[0.14277017 0.14252163 0.14308159 0.13263836],[ 3.21921922 20.18018018 23.11111111],[0.11771401 0.12955085 0.12466328],0.009614913825012375,0.004903784770627988
route_2_weekend,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9988988299487431,0.9999999999999999,0.022782997871300347,0.5101029417843063,0.49842482359084517,3311.3423021179624,0.009856322402919004,-3.1195794918529276,0.13455864576733195,[11.91591592 14.84684685 17.15315315 19.17117117 21.66966967 23.63963964],[0.14441306 0.14103095 0.14169807 0.14438121 0.13849836 0.13598728],[1.72972973 4.70870871 7.63963964],[0.12470235 0.13145348 0.13114316],0.010228206966687846,0.005211040570513071
route_2_workday,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999771244505503,0.9999999999999999,0.2355300295853221,0.7834507373174442,0.782078435272561,10598.04696084921,0.030928130549470273,2.182447749340657,0.1566625928414205,[ 7.83183183 10.76276276 12.78078078 15.66366366],[0.18107563 0.16019218 0.15902715 0.18759072],[ 3.89189189  9.65765766 21.90990991],[0.12573446 0.15588076 0.13978524],0.016938280680260903,0.00863882439576415
route_3_weekend,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999999999999977,0.9999999999999999,0.03273069093416776,0.6590439260952382,0.6517377245115648,3151.384925575825,0.013659903626444037,3.08813211794312,0.14128052725384235,[12.2042042  16.67267267 19.50750751],[0.15493807 0.14887326 0.14705769],[ 0.33633634  2.83483483  5.47747748 21.57357357],[0.12826893 0.12762227 0.12989806 0.13634598],0.012252148434837403,0.006242203797935599
route_3_workday,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.99999814692553,0.9999999999999999,0.3231257959141745,0.7918502230487554,0.7905218900752312,10014.885390297783,0.03262996699243495,2.207605648468504,0.16511141081634148,[11.86786787 15.56756757],[0.18110285 0.1977361 ],[ 3.41141141  8.79279279 23.78378378],[0.13805421 0.16327524 0.13248325],0.019909124745722415,0.010153980359404633
route_4_weekend,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999116785231231,0.9999999999999999,0.018825988656416055,0.6924864319230883,0.6851472059546656,3388.9305984898456,0.011162099891211003,-2.8680005005744658,0.12536271588917045,[10.95495495 12.49249249 15.27927928 18.30630631 21.86186186],[0.13581513 0.13646211 0.13652482 0.13652109 0.12803359],[1.82582583 5.04504505],[0.11420148 0.11784581],0.009303207094014674,0.004739765844243052
route_4_workday,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.005432734034106601,0.012300529888543249,0.26739130115034315,0.7458899840229379,0.7444225537093072,10241.96974705144,0.02366670258254723,-1.9874740310998495,0.14369280695300934,[ 7.59159159 12.15615616 16.        ],[0.16700206 0.15501033 0.16735751],[0.52852853 2.59459459 4.8048048 ],[0.12002711 0.12173159 0.12366142],0.018160257407934723,0.00926200979925225
route_5_weekend,24.0,9.0,1.1102230246251565e-16,1.1102230246251565e-16,0.9999998611911047,0.9999999999999999,0.0014838075736500669,0.5611570578721203,0.5517195752457144,4462.985887243836,0.00243973786356572,-3.044105794469389,0.05530535831312064,[11.62762763 14.07807808 19.65165165 22.15015015],[0.05722773 0.05666382 0.0577451  0.05533195],[0.48048048 2.83483483 7.78378378],[0.05363725 0.05286562 0.0530637 ],0.0026133803112309783,0.0013314536812060766
route_5_workday,24.0,10.0,1.1102230246251565e-16,1.1102230246251565e-16,0.772608460322231,0.9999999999999999,0.019270802177186984,0.6173281420821484,0.614878258228641,14411.73648749275,0.006138721028909996,2.245342497160272,0.05971544325907148,[ 7.3993994  10.47447447 12.3003003  15.42342342],[0.064135   0.06018226 0.06080979 0.06585233],[0.91291291 3.45945946 5.04504505 9.12912913],[0.0535771  0.05535827 0.05528403 0.05903949],0.00486979601398049,0.002483672816316706
