route ID	day	n_components	p	q	peaks	heights
0	weekend	4	0.0	0.0	[12.71]	[0.124]
0	workday	10	0.0	0.0	[7.51, 12.31, 15.52]	[0.135, 0.124, 0.137]
1	weekend	10	0.0	0.0	[11.51, 14.01, 18.02, 20.12, 22.82]	[0.144, 0.138, 0.135, 0.135, 0.131]
1	workday	10	0.0	0.0	[7.61, 11.91, 14.71, 21.42]	[0.143, 0.143, 0.143, 0.133]
2	weekend	10	0.0	0.0	[11.91, 14.81, 17.12, 19.22, 21.62, 23.62]	[0.144, 0.141, 0.142, 0.144, 0.138, 0.136]
2	workday	10	0.0	0.0	[7.81, 10.81, 12.81, 15.72]	[0.181, 0.16, 0.159, 0.188]
3	weekend	9	0.0	0.0	[12.21, 16.72, 19.52]	[0.155, 0.149, 0.147]
3	workday	10	0.0	0.0	[11.81, 15.52]	[0.181, 0.198]
4	weekend	10	0.0	0.0	[10.91, 12.51, 15.32, 18.32, 21.92]	[0.136, 0.136, 0.137, 0.137, 0.128]
4	workday	9	0.0	0.0	[7.61, 12.11, 16.02]	[0.167, 0.155, 0.167]
5	weekend	9	0.0	0.0	[11.61, 14.01, 19.62, 22.12]	[0.057, 0.057, 0.058, 0.055]
5	workday	10	0.0	0.0	[7.41, 10.51, 12.31, 15.42]	[0.064, 0.06, 0.061, 0.066]
