,timestamp,route_id,t_duration_in_traffic_[s],t_duration_[s],t_distance_[m],w_city,w_description,w_visibility,w_clouds,w_temperature,w_temperature_feel,w_pressure,w_humidity,w_wind_speed,w_wind_degree,w_sunrise,w_sunset
0,2020-09-09 14:01:48.599623,0,884,914,6894,Ljubljana,few clouds,10000,20,23.64,23.97,1024,56,1.5,60,1599625971,1599672330
1,2020-09-09 14:01:49.052644,1,519,512,3601,Ljubljana,few clouds,10000,20,23.64,23.97,1024,56,1.5,60,1599625971,1599672330
2,2020-09-09 14:01:49.388606,2,579,580,3681,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625980,1599672340
3,2020-09-09 14:01:49.811545,3,543,526,3068,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625980,1599672340
4,2020-09-09 14:01:50.171052,4,629,597,4118,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625995,1599672353
5,2020-09-09 14:01:50.530455,5,766,726,12459,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625995,1599672353
6,2020-09-09 14:10:00.171176,0,889,914,6894,Ljubljana,few clouds,10000,20,23.64,23.97,1024,56,1.5,60,1599625971,1599672330
7,2020-09-09 14:10:00.565747,1,518,512,3601,Ljubljana,few clouds,10000,20,23.64,23.97,1024,56,1.5,60,1599625971,1599672330
8,2020-09-09 14:10:01.031405,2,589,580,3681,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625980,1599672340
9,2020-09-09 14:10:01.406709,3,595,526,3068,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625980,1599672340
10,2020-09-09 14:10:01.800899,4,612,597,4118,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625995,1599672353
11,2020-09-09 14:10:05.393183,5,761,726,12459,Ljubljana,few clouds,10000,20,23.63,23.96,1024,56,1.5,60,1599625995,1599672353
12,2020-09-09 14:20:00.283933,0,904,914,6894,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
13,2020-09-09 14:20:00.948297,1,514,512,3601,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
14,2020-09-09 14:20:01.347688,2,603,580,3681,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625980,1599672340
15,2020-09-09 14:20:01.885026,3,547,526,3068,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625980,1599672340
16,2020-09-09 14:20:02.371328,4,655,597,4118,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625995,1599672353
17,2020-09-09 14:20:02.905585,5,759,726,12459,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625995,1599672353
18,2020-09-09 14:30:00.159240,0,890,914,6894,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
19,2020-09-09 14:30:00.519582,1,522,512,3601,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
20,2020-09-09 14:30:01.000432,2,609,580,3681,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625980,1599672340
21,2020-09-09 14:30:01.365190,3,550,526,3068,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625980,1599672340
22,2020-09-09 14:30:01.954602,4,608,597,4118,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625995,1599672353
23,2020-09-09 14:30:02.458565,5,758,726,12459,Ljubljana,few clouds,10000,20,23.8,23.89,1024,53,1.5,140,1599625995,1599672353
24,2020-09-09 14:40:00.230358,0,902,914,6894,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
25,2020-09-09 14:40:01.005282,1,518,512,3601,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
26,2020-09-09 14:40:01.437993,2,613,580,3681,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625980,1599672340
27,2020-09-09 14:40:01.966765,3,555,526,3068,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625980,1599672340
28,2020-09-09 14:40:02.426370,4,650,597,4118,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625995,1599672353
29,2020-09-09 14:40:03.998871,5,766,726,12459,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625995,1599672353
30,2020-09-09 14:50:00.208451,0,903,914,6894,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
31,2020-09-09 14:50:00.667528,1,516,512,3601,Ljubljana,few clouds,10000,20,23.82,23.92,1024,53,1.5,140,1599625971,1599672330
32,2020-09-09 14:50:01.105842,2,639,580,3681,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625980,1599672340
33,2020-09-09 14:50:01.554804,3,572,526,3068,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625980,1599672340
34,2020-09-09 14:50:01.899861,4,648,597,4118,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625995,1599672353
35,2020-09-09 14:50:02.330386,5,945,726,12459,Ljubljana,few clouds,10000,20,23.83,23.93,1024,53,1.5,140,1599625995,1599672353
36,2020-09-09 15:00:00.263856,0,898,914,6894,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625971,1599672330
37,2020-09-09 15:00:01.004974,1,506,512,3601,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625971,1599672330
38,2020-09-09 15:00:01.419829,2,647,580,3681,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625980,1599672340
39,2020-09-09 15:00:01.979062,3,541,526,3068,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625980,1599672340
40,2020-09-09 15:00:02.427917,4,638,597,4118,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625995,1599672353
41,2020-09-09 15:00:02.890866,5,1160,726,12459,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625995,1599672353
42,2020-09-09 15:10:00.226242,0,948,914,6894,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625971,1599672330
43,2020-09-09 15:10:00.640330,1,509,512,3601,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625971,1599672330
44,2020-09-09 15:10:00.970449,2,639,580,3681,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625980,1599672340
45,2020-09-09 15:10:01.302441,3,557,526,3068,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625980,1599672340
46,2020-09-09 15:10:01.638671,4,667,597,4118,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625995,1599672353
47,2020-09-09 15:10:02.008004,5,1354,726,12459,Ljubljana,few clouds,10000,20,24.31,24.14,1024,53,2.1,0,1599625995,1599672353
48,2020-09-09 15:20:00.277389,0,1003,914,6894,Ljubljana,few clouds,10000,20,24.01,24.46,1023,56,1.5,80,1599625971,1599672330
