,date,time,count
0,01.10.20,00:00,104.0
1,01.10.20,01:00,53.0
2,01.10.20,02:00,32.0
3,01.10.20,03:00,47.0
4,01.10.20,04:00,108.0
5,01.10.20,05:00,550.0
6,01.10.20,06:00,1017.0
7,01.10.20,07:00,1433.0
8,01.10.20,08:00,1411.0
9,01.10.20,09:00,1443.0
10,01.10.20,10:00,1497.0
11,01.10.20,11:00,1590.0
12,01.10.20,12:00,1679.0
13,01.10.20,13:00,1737.0
14,01.10.20,14:00,1867.0
15,01.10.20,15:00,1536.0
16,01.10.20,16:00,1485.0
17,01.10.20,17:00,1663.0
18,01.10.20,18:00,1567.0
19,01.10.20,19:00,1330.0
20,01.10.20,20:00,965.0
21,01.10.20,21:00,694.0
22,01.10.20,22:00,518.0
23,01.10.20,23:00,232.0
24,02.10.20,00:00,87.0
25,02.10.20,01:00,56.0
26,02.10.20,02:00,43.0
27,02.10.20,03:00,45.0
28,02.10.20,04:00,131.0
29,02.10.20,05:00,519.0
30,02.10.20,06:00,1002.0
31,02.10.20,07:00,1415.0
32,02.10.20,08:00,1329.0
33,02.10.20,09:00,1339.0
34,02.10.20,10:00,1519.0
35,02.10.20,11:00,1548.0
36,02.10.20,12:00,1612.0
37,02.10.20,13:00,1798.0
38,02.10.20,14:00,1838.0
39,02.10.20,15:00,1083.0
40,02.10.20,16:00,1091.0
41,02.10.20,17:00,1506.0
42,02.10.20,18:00,1421.0
43,02.10.20,19:00,1286.0
44,02.10.20,20:00,1036.0
45,02.10.20,21:00,719.0
46,02.10.20,22:00,509.0
47,02.10.20,23:00,365.0
48,03.10.20,00:00,206.0
49,03.10.20,01:00,78.0
50,03.10.20,02:00,69.0
51,03.10.20,03:00,55.0
52,03.10.20,04:00,68.0
53,03.10.20,05:00,205.0
54,03.10.20,06:00,339.0
55,03.10.20,07:00,485.0
56,03.10.20,08:00,772.0
57,03.10.20,09:00,1111.0
58,03.10.20,10:00,1309.0
59,03.10.20,11:00,1523.0
60,03.10.20,12:00,1630.0
61,03.10.20,13:00,1392.0
62,03.10.20,14:00,1207.0
63,03.10.20,15:00,1126.0
64,03.10.20,16:00,1034.0
65,03.10.20,17:00,1151.0
66,03.10.20,18:00,1152.0
67,03.10.20,19:00,1062.0
68,03.10.20,20:00,749.0
69,03.10.20,21:00,555.0
70,03.10.20,22:00,412.0
71,03.10.20,23:00,260.0
72,04.10.20,00:00,144.0
73,04.10.20,01:00,81.0
74,04.10.20,02:00,52.0
75,04.10.20,03:00,44.0
76,04.10.20,04:00,47.0
77,04.10.20,05:00,88.0
78,04.10.20,06:00,144.0
79,04.10.20,07:00,264.0
80,04.10.20,08:00,357.0
81,04.10.20,09:00,676.0
82,04.10.20,10:00,845.0
83,04.10.20,11:00,907.0
84,04.10.20,12:00,995.0
85,04.10.20,13:00,1006.0
86,04.10.20,14:00,932.0
87,04.10.20,15:00,858.0
88,04.10.20,16:00,761.0
