,date,time,count
0,01.11.20,00:00,21.0
1,01.11.20,01:00,10.0
2,01.11.20,02:00,7.0
3,01.11.20,03:00,5.0
4,01.11.20,04:00,16.0
5,01.11.20,05:00,80.0
6,01.11.20,06:00,128.0
7,01.11.20,07:00,125.0
8,01.11.20,08:00,157.0
9,01.11.20,09:00,221.0
10,01.11.20,10:00,291.0
11,01.11.20,11:00,354.0
12,01.11.20,12:00,421.0
13,01.11.20,13:00,437.0
14,01.11.20,14:00,464.0
15,01.11.20,15:00,488.0
16,01.11.20,16:00,530.0
17,01.11.20,17:00,572.0
18,01.11.20,18:00,414.0
19,01.11.20,19:00,269.0
20,01.11.20,20:00,218.0
21,01.11.20,21:00,54.0
22,01.11.20,22:00,21.0
23,01.11.20,23:00,14.0
24,02.11.20,00:00,17.0
25,02.11.20,01:00,14.0
26,02.11.20,02:00,14.0
27,02.11.20,03:00,27.0
28,02.11.20,04:00,112.0
29,02.11.20,05:00,519.0
30,02.11.20,06:00,1243.0
31,02.11.20,07:00,1165.0
32,02.11.20,08:00,895.0
33,02.11.20,09:00,776.0
34,02.11.20,10:00,821.0
35,02.11.20,11:00,845.0
36,02.11.20,12:00,901.0
37,02.11.20,13:00,848.0
38,02.11.20,14:00,910.0
39,02.11.20,15:00,926.0
40,02.11.20,16:00,943.0
41,02.11.20,17:00,910.0
42,02.11.20,18:00,597.0
43,02.11.20,19:00,435.0
44,02.11.20,20:00,300.0
45,02.11.20,21:00,140.0
46,02.11.20,22:00,109.0
47,02.11.20,23:00,32.0
48,03.11.20,00:00,13.0
49,03.11.20,01:00,11.0
50,03.11.20,02:00,13.0
51,03.11.20,03:00,37.0
52,03.11.20,04:00,98.0
53,03.11.20,05:00,526.0
54,03.11.20,06:00,1229.0
55,03.11.20,07:00,1177.0
56,03.11.20,08:00,921.0
57,03.11.20,09:00,826.0
58,03.11.20,10:00,804.0
59,03.11.20,11:00,879.0
60,03.11.20,12:00,870.0
61,03.11.20,13:00,854.0
