,date,time,count
0,01.10.20,00:00,46.0
1,01.10.20,01:00,25.0
2,01.10.20,02:00,10.0
3,01.10.20,03:00,15.0
4,01.10.20,04:00,26.0
5,01.10.20,05:00,116.0
6,01.10.20,06:00,328.0
7,01.10.20,07:00,528.0
8,01.10.20,08:00,653.0
9,01.10.20,09:00,680.0
10,01.10.20,10:00,807.0
11,01.10.20,11:00,820.0
12,01.10.20,12:00,783.0
13,01.10.20,13:00,818.0
14,01.10.20,14:00,1167.0
15,01.10.20,15:00,1244.0
16,01.10.20,16:00,1229.0
17,01.10.20,17:00,982.0
18,01.10.20,18:00,879.0
19,01.10.20,19:00,709.0
20,01.10.20,20:00,477.0
21,01.10.20,21:00,301.0
22,01.10.20,22:00,241.0
23,01.10.20,23:00,126.0
24,02.10.20,00:00,44.0
25,02.10.20,01:00,21.0
26,02.10.20,02:00,14.0
27,02.10.20,03:00,15.0
28,02.10.20,04:00,34.0
29,02.10.20,05:00,104.0
30,02.10.20,06:00,344.0
31,02.10.20,07:00,504.0
32,02.10.20,08:00,651.0
33,02.10.20,09:00,712.0
34,02.10.20,10:00,749.0
35,02.10.20,11:00,817.0
36,02.10.20,12:00,889.0
37,02.10.20,13:00,988.0
38,02.10.20,14:00,1281.0
39,02.10.20,15:00,1295.0
40,02.10.20,16:00,1277.0
41,02.10.20,17:00,1049.0
42,02.10.20,18:00,759.0
43,02.10.20,19:00,680.0
44,02.10.20,20:00,490.0
45,02.10.20,21:00,312.0
46,02.10.20,22:00,262.0
47,02.10.20,23:00,191.0
48,03.10.20,00:00,71.0
49,03.10.20,01:00,59.0
50,03.10.20,02:00,24.0
51,03.10.20,03:00,29.0
52,03.10.20,04:00,25.0
53,03.10.20,05:00,56.0
54,03.10.20,06:00,156.0
55,03.10.20,07:00,249.0
56,03.10.20,08:00,388.0
57,03.10.20,09:00,589.0
58,03.10.20,10:00,772.0
59,03.10.20,11:00,837.0
60,03.10.20,12:00,840.0
61,03.10.20,13:00,752.0
62,03.10.20,14:00,607.0
63,03.10.20,15:00,567.0
64,03.10.20,16:00,558.0
65,03.10.20,17:00,564.0
66,03.10.20,18:00,533.0
67,03.10.20,19:00,421.0
68,03.10.20,20:00,317.0
69,03.10.20,21:00,273.0
70,03.10.20,22:00,182.0
71,03.10.20,23:00,111.0
72,04.10.20,00:00,60.0
73,04.10.20,01:00,32.0
74,04.10.20,02:00,18.0
75,04.10.20,03:00,18.0
76,04.10.20,04:00,16.0
77,04.10.20,05:00,30.0
78,04.10.20,06:00,77.0
79,04.10.20,07:00,135.0
80,04.10.20,08:00,241.0
81,04.10.20,09:00,339.0
82,04.10.20,10:00,523.0
83,04.10.20,11:00,562.0
84,04.10.20,12:00,565.0
85,04.10.20,13:00,478.0
86,04.10.20,14:00,401.0
87,04.10.20,15:00,446.0
88,04.10.20,16:00,387.0
89,04.10.20,17:00,419.0
90,04.10.20,18:00,459.0
91,04.10.20,19:00,448.0
92,04.10.20,20:00,311.0
93,04.10.20,21:00,199.0
94,04.10.20,22:00,138.0
95,04.10.20,23:00,56.0
96,05.10.20,00:00,28.0
97,05.10.20,01:00,22.0
98,05.10.20,02:00,19.0
99,05.10.20,03:00,17.0
100,05.10.20,04:00,36.0
101,05.10.20,05:00,101.0
102,05.10.20,06:00,320.0
103,05.10.20,07:00,481.0
104,05.10.20,08:00,634.0
105,05.10.20,09:00,579.0
106,05.10.20,10:00,701.0
107,05.10.20,11:00,738.0
108,05.10.20,12:00,767.0
109,05.10.20,13:00,853.0
110,05.10.20,14:00,1085.0
111,05.10.20,15:00,1240.0
112,05.10.20,16:00,1206.0
113,05.10.20,17:00,1005.0
114,05.10.20,18:00,837.0
115,05.10.20,19:00,668.0
116,05.10.20,20:00,465.0
117,05.10.20,21:00,326.0
118,05.10.20,22:00,234.0
119,05.10.20,23:00,88.0
120,06.10.20,00:00,34.0
121,06.10.20,01:00,28.0
122,06.10.20,02:00,8.0
123,06.10.20,03:00,13.0
124,06.10.20,04:00,46.0
125,06.10.20,05:00,99.0
126,06.10.20,06:00,320.0
127,06.10.20,07:00,508.0
128,06.10.20,08:00,656.0
129,06.10.20,09:00,675.0
130,06.10.20,10:00,716.0
131,06.10.20,11:00,741.0
132,06.10.20,12:00,723.0
133,06.10.20,13:00,808.0
134,06.10.20,14:00,1092.0
135,06.10.20,15:00,1248.0
136,06.10.20,16:00,1191.0
137,06.10.20,17:00,958.0
138,06.10.20,18:00,895.0
139,06.10.20,19:00,719.0
140,06.10.20,20:00,478.0
141,06.10.20,21:00,282.0
142,06.10.20,22:00,229.0
143,06.10.20,23:00,66.0
144,07.10.20,00:00,27.0
145,07.10.20,01:00,24.0
146,07.10.20,02:00,11.0
147,07.10.20,03:00,16.0
148,07.10.20,04:00,37.0
149,07.10.20,05:00,107.0
150,07.10.20,06:00,300.0
151,07.10.20,07:00,472.0
152,07.10.20,08:00,658.0
153,07.10.20,09:00,583.0
154,07.10.20,10:00,699.0
155,07.10.20,11:00,770.0
156,07.10.20,12:00,797.0
157,07.10.20,13:00,924.0
158,07.10.20,14:00,1091.0
159,07.10.20,15:00,1208.0
160,07.10.20,16:00,1190.0
161,07.10.20,17:00,971.0
162,07.10.20,18:00,901.0
163,07.10.20,19:00,742.0
164,07.10.20,20:00,490.0
165,07.10.20,21:00,347.0
166,07.10.20,22:00,243.0
167,07.10.20,23:00,84.0
168,08.10.20,00:00,20.0
169,08.10.20,01:00,17.0
170,08.10.20,02:00,14.0
171,08.10.20,03:00,14.0
172,08.10.20,04:00,38.0
173,08.10.20,05:00,112.0
174,08.10.20,06:00,296.0
175,08.10.20,07:00,504.0
176,08.10.20,08:00,685.0
177,08.10.20,09:00,669.0
178,08.10.20,10:00,733.0
179,08.10.20,11:00,782.0
180,08.10.20,12:00,824.0
181,08.10.20,13:00,941.0
182,08.10.20,14:00,1093.0
183,08.10.20,15:00,1224.0
184,08.10.20,16:00,1267.0
185,08.10.20,17:00,1030.0
186,08.10.20,18:00,875.0
187,08.10.20,19:00,691.0
188,08.10.20,20:00,458.0
189,08.10.20,21:00,326.0
190,08.10.20,22:00,244.0
191,08.10.20,23:00,104.0
192,09.10.20,00:00,53.0
193,09.10.20,01:00,23.0
194,09.10.20,02:00,16.0
195,09.10.20,03:00,15.0
196,09.10.20,04:00,35.0
197,09.10.20,05:00,95.0
198,09.10.20,06:00,311.0
199,09.10.20,07:00,507.0
200,09.10.20,08:00,661.0
201,09.10.20,09:00,696.0
202,09.10.20,10:00,777.0
203,09.10.20,11:00,859.0
204,09.10.20,12:00,873.0
205,09.10.20,13:00,1049.0
206,09.10.20,14:00,1224.0
207,09.10.20,15:00,1282.0
208,09.10.20,16:00,1140.0
209,09.10.20,17:00,918.0
210,09.10.20,18:00,840.0
211,09.10.20,19:00,589.0
212,09.10.20,20:00,488.0
213,09.10.20,21:00,343.0
214,09.10.20,22:00,266.0
215,09.10.20,23:00,174.0
216,10.10.20,00:00,93.0
217,10.10.20,01:00,33.0
218,10.10.20,02:00,21.0
219,10.10.20,03:00,8.0
220,10.10.20,04:00,23.0
221,10.10.20,05:00,49.0
222,10.10.20,06:00,166.0
223,10.10.20,07:00,279.0
224,10.10.20,08:00,443.0
225,10.10.20,09:00,590.0
226,10.10.20,10:00,736.0
227,10.10.20,11:00,741.0
228,10.10.20,12:00,694.0
229,10.10.20,13:00,729.0
230,10.10.20,14:00,700.0
231,10.10.20,15:00,606.0
232,10.10.20,16:00,610.0
233,10.10.20,17:00,603.0
234,10.10.20,18:00,645.0
235,10.10.20,19:00,508.0
236,10.10.20,20:00,310.0
237,10.10.20,21:00,242.0
238,10.10.20,22:00,205.0
239,10.10.20,23:00,128.0
240,11.10.20,00:00,64.0
241,11.10.20,01:00,29.0
242,11.10.20,02:00,29.0
243,11.10.20,03:00,15.0
244,11.10.20,04:00,9.0
245,11.10.20,05:00,30.0
246,11.10.20,06:00,63.0
247,11.10.20,07:00,118.0
248,11.10.20,08:00,181.0
249,11.10.20,09:00,247.0
250,11.10.20,10:00,380.0
251,11.10.20,11:00,475.0
252,11.10.20,12:00,453.0
253,11.10.20,13:00,425.0
254,11.10.20,14:00,338.0
255,11.10.20,15:00,344.0
256,11.10.20,16:00,323.0
257,11.10.20,17:00,354.0
258,11.10.20,18:00,361.0
259,11.10.20,19:00,438.0
260,11.10.20,20:00,269.0
261,11.10.20,21:00,172.0
262,11.10.20,22:00,104.0
263,11.10.20,23:00,62.0
264,12.10.20,00:00,22.0
265,12.10.20,01:00,28.0
266,12.10.20,02:00,11.0
267,12.10.20,03:00,8.0
268,12.10.20,04:00,35.0
269,12.10.20,05:00,99.0
270,12.10.20,06:00,353.0
271,12.10.20,07:00,538.0
272,12.10.20,08:00,605.0
273,12.10.20,09:00,599.0
274,12.10.20,10:00,714.0
275,12.10.20,11:00,747.0
276,12.10.20,12:00,763.0
277,12.10.20,13:00,869.0
278,12.10.20,14:00,1055.0
279,12.10.20,15:00,1246.0
280,12.10.20,16:00,1184.0
281,12.10.20,17:00,911.0
282,12.10.20,18:00,856.0
283,12.10.20,19:00,668.0
284,12.10.20,20:00,425.0
285,12.10.20,21:00,262.0
286,12.10.20,22:00,189.0
287,12.10.20,23:00,74.0
288,13.10.20,00:00,27.0
289,13.10.20,01:00,24.0
290,13.10.20,02:00,8.0
291,13.10.20,03:00,11.0
292,13.10.20,04:00,31.0
293,13.10.20,05:00,94.0
294,13.10.20,06:00,348.0
295,13.10.20,07:00,510.0
296,13.10.20,08:00,627.0
297,13.10.20,09:00,660.0
298,13.10.20,10:00,727.0
299,13.10.20,11:00,712.0
300,13.10.20,12:00,782.0
301,13.10.20,13:00,896.0
302,13.10.20,14:00,1077.0
303,13.10.20,15:00,1278.0
304,13.10.20,16:00,1194.0
305,13.10.20,17:00,1015.0
306,13.10.20,18:00,769.0
307,13.10.20,19:00,660.0
308,13.10.20,20:00,416.0
309,13.10.20,21:00,295.0
310,13.10.20,22:00,204.0
311,13.10.20,23:00,90.0
312,14.10.20,00:00,41.0
313,14.10.20,01:00,16.0
314,14.10.20,02:00,11.0
315,14.10.20,03:00,12.0
316,14.10.20,04:00,32.0
317,14.10.20,05:00,107.0
318,14.10.20,06:00,357.0
319,14.10.20,07:00,566.0
320,14.10.20,08:00,662.0
321,14.10.20,09:00,637.0
322,14.10.20,10:00,729.0
323,14.10.20,11:00,805.0
324,14.10.20,12:00,794.0
325,14.10.20,13:00,880.0
326,14.10.20,14:00,1052.0
327,14.10.20,15:00,1259.0
328,14.10.20,16:00,1253.0
329,14.10.20,17:00,1018.0
330,14.10.20,18:00,847.0
331,14.10.20,19:00,628.0
332,14.10.20,20:00,424.0
333,14.10.20,21:00,311.0
334,14.10.20,22:00,201.0
335,14.10.20,23:00,106.0
336,15.10.20,00:00,54.0
337,15.10.20,01:00,19.0
338,15.10.20,02:00,11.0
339,15.10.20,03:00,13.0
340,15.10.20,04:00,36.0
341,15.10.20,05:00,95.0
342,15.10.20,06:00,321.0
343,15.10.20,07:00,505.0
344,15.10.20,08:00,615.0
345,15.10.20,09:00,666.0
346,15.10.20,10:00,694.0
347,15.10.20,11:00,742.0
348,15.10.20,12:00,836.0
349,15.10.20,13:00,913.0
350,15.10.20,14:00,1030.0
351,15.10.20,15:00,1218.0
352,15.10.20,16:00,1203.0
353,15.10.20,17:00,1063.0
354,15.10.20,18:00,921.0
355,15.10.20,19:00,684.0
356,15.10.20,20:00,443.0
357,15.10.20,21:00,311.0
358,15.10.20,22:00,253.0
359,15.10.20,23:00,130.0
360,16.10.20,00:00,35.0
361,16.10.20,01:00,24.0
362,16.10.20,02:00,12.0
