,date,time,count
0,01.11.20,00:00,7.0
1,01.11.20,01:00,3.0
2,01.11.20,02:00,4.0
3,01.11.20,03:00,7.0
4,01.11.20,04:00,3.0
5,01.11.20,05:00,25.0
6,01.11.20,06:00,49.0
7,01.11.20,07:00,81.0
8,01.11.20,08:00,118.0
9,01.11.20,09:00,155.0
10,01.11.20,10:00,234.0
11,01.11.20,11:00,300.0
12,01.11.20,12:00,361.0
13,01.11.20,13:00,369.0
14,01.11.20,14:00,359.0
15,01.11.20,15:00,314.0
16,01.11.20,16:00,291.0
17,01.11.20,17:00,358.0
18,01.11.20,18:00,281.0
19,01.11.20,19:00,240.0
20,01.11.20,20:00,172.0
21,01.11.20,21:00,37.0
22,01.11.20,22:00,30.0
23,01.11.20,23:00,12.0
24,02.11.20,00:00,8.0
25,02.11.20,01:00,13.0
26,02.11.20,02:00,5.0
27,02.11.20,03:00,7.0
28,02.11.20,04:00,29.0
29,02.11.20,05:00,179.0
30,02.11.20,06:00,410.0
31,02.11.20,07:00,481.0
32,02.11.20,08:00,502.0
33,02.11.20,09:00,499.0
34,02.11.20,10:00,543.0
35,02.11.20,11:00,623.0
36,02.11.20,12:00,629.0
37,02.11.20,13:00,704.0
38,02.11.20,14:00,752.0
39,02.11.20,15:00,1002.0
40,02.11.20,16:00,789.0
41,02.11.20,17:00,624.0
42,02.11.20,18:00,473.0
43,02.11.20,19:00,278.0
44,02.11.20,20:00,258.0
45,02.11.20,21:00,83.0
46,02.11.20,22:00,49.0
47,02.11.20,23:00,20.0
48,03.11.20,00:00,8.0
49,03.11.20,01:00,9.0
50,03.11.20,02:00,10.0
51,03.11.20,03:00,4.0
52,03.11.20,04:00,30.0
53,03.11.20,05:00,167.0
54,03.11.20,06:00,437.0
55,03.11.20,07:00,501.0
56,03.11.20,08:00,463.0
57,03.11.20,09:00,543.0
58,03.11.20,10:00,576.0
59,03.11.20,11:00,655.0
60,03.11.20,12:00,607.0
61,03.11.20,13:00,677.0
62,03.11.20,14:00,807.0
63,03.11.20,15:00,989.0
64,03.11.20,16:00,778.0
65,03.11.20,17:00,604.0
66,03.11.20,18:00,453.0
67,03.11.20,19:00,313.0
68,03.11.20,20:00,269.0
69,03.11.20,21:00,90.0
70,03.11.20,22:00,46.0
71,03.11.20,23:00,20.0
72,04.11.20,00:00,8.0
73,04.11.20,01:00,8.0
74,04.11.20,02:00,5.0
75,04.11.20,03:00,6.0
76,04.11.20,04:00,29.0
77,04.11.20,05:00,184.0
78,04.11.20,06:00,400.0
79,04.11.20,07:00,515.0
80,04.11.20,08:00,482.0
81,04.11.20,09:00,484.0
82,04.11.20,10:00,587.0
83,04.11.20,11:00,640.0
84,04.11.20,12:00,625.0
85,04.11.20,13:00,635.0
86,04.11.20,14:00,774.0
87,04.11.20,15:00,954.0
88,04.11.20,16:00,829.0
89,04.11.20,17:00,619.0
90,04.11.20,18:00,425.0
91,04.11.20,19:00,298.0
92,04.11.20,20:00,297.0
93,04.11.20,21:00,90.0
94,04.11.20,22:00,43.0
95,04.11.20,23:00,23.0
