,date,time,count
0,01.11.20,00:00,3.0
1,01.11.20,01:00,7.0
2,01.11.20,02:00,1.0
3,01.11.20,03:00,2.0
4,01.11.20,04:00,2.0
5,01.11.20,05:00,22.0
6,01.11.20,06:00,56.0
7,01.11.20,07:00,50.0
8,01.11.20,08:00,86.0
9,01.11.20,09:00,149.0
10,01.11.20,10:00,194.0
11,01.11.20,11:00,250.0
12,01.11.20,12:00,261.0
13,01.11.20,13:00,319.0
14,01.11.20,14:00,287.0
15,01.11.20,15:00,344.0
16,01.11.20,16:00,318.0
17,01.11.20,17:00,300.0
18,01.11.20,18:00,191.0
19,01.11.20,19:00,150.0
20,01.11.20,20:00,118.0
21,01.11.20,21:00,22.0
22,01.11.20,22:00,13.0
23,01.11.20,23:00,7.0
24,02.11.20,00:00,8.0
25,02.11.20,01:00,5.0
26,02.11.20,02:00,1.0
27,02.11.20,03:00,9.0
28,02.11.20,04:00,22.0
29,02.11.20,05:00,144.0
30,02.11.20,06:00,363.0
31,02.11.20,07:00,444.0
32,02.11.20,08:00,374.0
33,02.11.20,09:00,363.0
34,02.11.20,10:00,320.0
35,02.11.20,11:00,411.0
36,02.11.20,12:00,381.0
37,02.11.20,13:00,406.0
38,02.11.20,14:00,402.0
39,02.11.20,15:00,410.0
40,02.11.20,16:00,427.0
41,02.11.20,17:00,393.0
42,02.11.20,18:00,270.0
43,02.11.20,19:00,184.0
44,02.11.20,20:00,157.0
45,02.11.20,21:00,47.0
46,02.11.20,22:00,27.0
47,02.11.20,23:00,10.0
48,03.11.20,00:00,9.0
49,03.11.20,01:00,3.0
50,03.11.20,02:00,6.0
51,03.11.20,03:00,8.0
52,03.11.20,04:00,23.0
53,03.11.20,05:00,144.0
54,03.11.20,06:00,379.0
55,03.11.20,07:00,448.0
56,03.11.20,08:00,344.0
57,03.11.20,09:00,380.0
58,03.11.20,10:00,373.0
59,03.11.20,11:00,415.0
60,03.11.20,12:00,409.0
61,03.11.20,13:00,427.0
62,03.11.20,14:00,395.0
63,03.11.20,15:00,385.0
64,03.11.20,16:00,432.0
