,date,time,count
0,01.11.20,00:00,6.0
1,01.11.20,01:00,3.0
2,01.11.20,02:00,0.0
3,01.11.20,03:00,2.0
4,01.11.20,04:00,4.0
5,01.11.20,05:00,12.0
6,01.11.20,06:00,47.0
7,01.11.20,07:00,59.0
8,01.11.20,08:00,92.0
9,01.11.20,09:00,186.0
10,01.11.20,10:00,244.0
11,01.11.20,11:00,281.0
12,01.11.20,12:00,319.0
13,01.11.20,13:00,340.0
14,01.11.20,14:00,292.0
15,01.11.20,15:00,297.0
16,01.11.20,16:00,263.0
17,01.11.20,17:00,278.0
18,01.11.20,18:00,240.0
19,01.11.20,19:00,182.0
20,01.11.20,20:00,143.0
21,01.11.20,21:00,29.0
22,01.11.20,22:00,19.0
23,01.11.20,23:00,7.0
24,02.11.20,00:00,6.0
25,02.11.20,01:00,5.0
26,02.11.20,02:00,1.0
27,02.11.20,03:00,3.0
28,02.11.20,04:00,12.0
29,02.11.20,05:00,86.0
30,02.11.20,06:00,218.0
31,02.11.20,07:00,256.0
32,02.11.20,08:00,290.0
33,02.11.20,09:00,337.0
34,02.11.20,10:00,370.0
35,02.11.20,11:00,432.0
36,02.11.20,12:00,430.0
37,02.11.20,13:00,432.0
38,02.11.20,14:00,486.0
39,02.11.20,15:00,542.0
40,02.11.20,16:00,558.0
41,02.11.20,17:00,450.0
42,02.11.20,18:00,325.0
43,02.11.20,19:00,263.0
44,02.11.20,20:00,191.0
45,02.11.20,21:00,67.0
46,02.11.20,22:00,38.0
47,02.11.20,23:00,15.0
48,03.11.20,00:00,3.0
49,03.11.20,01:00,4.0
50,03.11.20,02:00,3.0
51,03.11.20,03:00,5.0
52,03.11.20,04:00,13.0
53,03.11.20,05:00,79.0
54,03.11.20,06:00,231.0
55,03.11.20,07:00,263.0
56,03.11.20,08:00,278.0
57,03.11.20,09:00,363.0
58,03.11.20,10:00,403.0
59,03.11.20,11:00,463.0
60,03.11.20,12:00,455.0
61,03.11.20,13:00,463.0
62,03.11.20,14:00,502.0
63,03.11.20,15:00,635.0
64,03.11.20,16:00,497.0
65,03.11.20,17:00,469.0
66,03.11.20,18:00,328.0
67,03.11.20,19:00,250.0
68,03.11.20,20:00,213.0
69,03.11.20,21:00,63.0
70,03.11.20,22:00,34.0
71,03.11.20,23:00,11.0
72,04.11.20,00:00,4.0
73,04.11.20,01:00,3.0
74,04.11.20,02:00,0.0
75,04.11.20,03:00,3.0
76,04.11.20,04:00,17.0
77,04.11.20,05:00,82.0
78,04.11.20,06:00,238.0
79,04.11.20,07:00,244.0
80,04.11.20,08:00,280.0
81,04.11.20,09:00,364.0
82,04.11.20,10:00,350.0
83,04.11.20,11:00,401.0
84,04.11.20,12:00,403.0
85,04.11.20,13:00,397.0
86,04.11.20,14:00,475.0
87,04.11.20,15:00,533.0
88,04.11.20,16:00,493.0
89,04.11.20,17:00,448.0
90,04.11.20,18:00,338.0
91,04.11.20,19:00,256.0
92,04.11.20,20:00,213.0
93,04.11.20,21:00,72.0
94,04.11.20,22:00,28.0
95,04.11.20,23:00,16.0
96,05.11.20,00:00,4.0
97,05.11.20,01:00,3.0
98,05.11.20,02:00,2.0
99,05.11.20,03:00,6.0
100,05.11.20,04:00,16.0
101,05.11.20,05:00,75.0
102,05.11.20,06:00,218.0
103,05.11.20,07:00,252.0
104,05.11.20,08:00,296.0
105,05.11.20,09:00,321.0
106,05.11.20,10:00,416.0
107,05.11.20,11:00,425.0
108,05.11.20,12:00,415.0
109,05.11.20,13:00,407.0
110,05.11.20,14:00,467.0
111,05.11.20,15:00,570.0
112,05.11.20,16:00,529.0
113,05.11.20,17:00,441.0
114,05.11.20,18:00,330.0
115,05.11.20,19:00,275.0
116,05.11.20,20:00,226.0
117,05.11.20,21:00,62.0
118,05.11.20,22:00,42.0
119,05.11.20,23:00,13.0
120,06.11.20,00:00,11.0
121,06.11.20,01:00,4.0
122,06.11.20,02:00,1.0
123,06.11.20,03:00,12.0
124,06.11.20,04:00,15.0
125,06.11.20,05:00,84.0
126,06.11.20,06:00,226.0
127,06.11.20,07:00,267.0
128,06.11.20,08:00,297.0
129,06.11.20,09:00,395.0
130,06.11.20,10:00,429.0
131,06.11.20,11:00,488.0
132,06.11.20,12:00,478.0
133,06.11.20,13:00,524.0
134,06.11.20,14:00,590.0
