,date,time,count
0,01.11.20,00:00,15.0
1,01.11.20,01:00,10.0
2,01.11.20,02:00,6.0
3,01.11.20,03:00,6.0
4,01.11.20,04:00,7.0
5,01.11.20,05:00,24.0
6,01.11.20,06:00,58.0
7,01.11.20,07:00,62.0
8,01.11.20,08:00,81.0
9,01.11.20,09:00,150.0
10,01.11.20,10:00,183.0
11,01.11.20,11:00,251.0
12,01.11.20,12:00,273.0
13,01.11.20,13:00,292.0
14,01.11.20,14:00,282.0
15,01.11.20,15:00,300.0
16,01.11.20,16:00,312.0
17,01.11.20,17:00,342.0
18,01.11.20,18:00,302.0
19,01.11.20,19:00,242.0
20,01.11.20,20:00,195.0
21,01.11.20,21:00,73.0
22,01.11.20,22:00,53.0
23,01.11.20,23:00,20.0
24,02.11.20,00:00,13.0
25,02.11.20,01:00,9.0
26,02.11.20,02:00,6.0
27,02.11.20,03:00,11.0
28,02.11.20,04:00,23.0
29,02.11.20,05:00,145.0
30,02.11.20,06:00,393.0
31,02.11.20,07:00,577.0
32,02.11.20,08:00,579.0
33,02.11.20,09:00,531.0
34,02.11.20,10:00,577.0
35,02.11.20,11:00,578.0
36,02.11.20,12:00,634.0
37,02.11.20,13:00,633.0
38,02.11.20,14:00,661.0
39,02.11.20,15:00,811.0
40,02.11.20,16:00,769.0
41,02.11.20,17:00,580.0
42,02.11.20,18:00,436.0
43,02.11.20,19:00,332.0
44,02.11.20,20:00,271.0
45,02.11.20,21:00,101.0
46,02.11.20,22:00,68.0
47,02.11.20,23:00,32.0
48,03.11.20,00:00,10.0
49,03.11.20,01:00,12.0
50,03.11.20,02:00,9.0
51,03.11.20,03:00,7.0
52,03.11.20,04:00,22.0
53,03.11.20,05:00,141.0
54,03.11.20,06:00,410.0
55,03.11.20,07:00,578.0
56,03.11.20,08:00,572.0
57,03.11.20,09:00,525.0
58,03.11.20,10:00,560.0
59,03.11.20,11:00,610.0
60,03.11.20,12:00,649.0
61,03.11.20,13:00,635.0
62,03.11.20,14:00,718.0
63,03.11.20,15:00,853.0
64,03.11.20,16:00,716.0
65,03.11.20,17:00,582.0
66,03.11.20,18:00,443.0
67,03.11.20,19:00,364.0
68,03.11.20,20:00,280.0
69,03.11.20,21:00,104.0
70,03.11.20,22:00,52.0
71,03.11.20,23:00,30.0
72,04.11.20,00:00,8.0
73,04.11.20,01:00,9.0
74,04.11.20,02:00,9.0
75,04.11.20,03:00,8.0
76,04.11.20,04:00,36.0
77,04.11.20,05:00,154.0
78,04.11.20,06:00,368.0
79,04.11.20,07:00,609.0
80,04.11.20,08:00,594.0
81,04.11.20,09:00,552.0
82,04.11.20,10:00,593.0
83,04.11.20,11:00,585.0
84,04.11.20,12:00,639.0
85,04.11.20,13:00,628.0
86,04.11.20,14:00,678.0
87,04.11.20,15:00,789.0
88,04.11.20,16:00,790.0
89,04.11.20,17:00,585.0
90,04.11.20,18:00,456.0
91,04.11.20,19:00,322.0
92,04.11.20,20:00,288.0
93,04.11.20,21:00,126.0
94,04.11.20,22:00,58.0
95,04.11.20,23:00,39.0
96,05.11.20,00:00,18.0
97,05.11.20,01:00,11.0
98,05.11.20,02:00,6.0
99,05.11.20,03:00,10.0
100,05.11.20,04:00,30.0
101,05.11.20,05:00,145.0
102,05.11.20,06:00,385.0
103,05.11.20,07:00,569.0
104,05.11.20,08:00,565.0
105,05.11.20,09:00,525.0
106,05.11.20,10:00,603.0
107,05.11.20,11:00,567.0
108,05.11.20,12:00,644.0
109,05.11.20,13:00,673.0
110,05.11.20,14:00,704.0
111,05.11.20,15:00,876.0
112,05.11.20,16:00,767.0
113,05.11.20,17:00,569.0
114,05.11.20,18:00,477.0
115,05.11.20,19:00,342.0
116,05.11.20,20:00,306.0
117,05.11.20,21:00,121.0
118,05.11.20,22:00,75.0
119,05.11.20,23:00,31.0
120,06.11.20,00:00,27.0
121,06.11.20,01:00,14.0
122,06.11.20,02:00,10.0
123,06.11.20,03:00,10.0
124,06.11.20,04:00,31.0
125,06.11.20,05:00,148.0
