,date,time,count
0,01.10.20,00:00,17.0
1,01.10.20,01:00,8.0
2,01.10.20,02:00,6.0
3,01.10.20,03:00,8.0
4,01.10.20,04:00,14.0
5,01.10.20,05:00,52.0
6,01.10.20,06:00,163.0
7,01.10.20,07:00,352.0
8,01.10.20,08:00,376.0
9,01.10.20,09:00,286.0
10,01.10.20,10:00,351.0
11,01.10.20,11:00,349.0
12,01.10.20,12:00,405.0
13,01.10.20,13:00,394.0
14,01.10.20,14:00,573.0
15,01.10.20,15:00,738.0
16,01.10.20,16:00,725.0
17,01.10.20,17:00,566.0
18,01.10.20,18:00,463.0
19,01.10.20,19:00,407.0
20,01.10.20,20:00,276.0
21,01.10.20,21:00,174.0
22,01.10.20,22:00,141.0
23,01.10.20,23:00,63.0
24,02.10.20,00:00,28.0
25,02.10.20,01:00,16.0
26,02.10.20,02:00,6.0
27,02.10.20,03:00,6.0
28,02.10.20,04:00,16.0
29,02.10.20,05:00,54.0
30,02.10.20,06:00,148.0
31,02.10.20,07:00,308.0
32,02.10.20,08:00,362.0
33,02.10.20,09:00,280.0
34,02.10.20,10:00,326.0
35,02.10.20,11:00,344.0
36,02.10.20,12:00,422.0
37,02.10.20,13:00,446.0
38,02.10.20,14:00,644.0
39,02.10.20,15:00,758.0
40,02.10.20,16:00,657.0
41,02.10.20,17:00,474.0
42,02.10.20,18:00,383.0
43,02.10.20,19:00,381.0
44,02.10.20,20:00,266.0
45,02.10.20,21:00,161.0
46,02.10.20,22:00,139.0
47,02.10.20,23:00,77.0
48,03.10.20,00:00,49.0
49,03.10.20,01:00,28.0
50,03.10.20,02:00,18.0
51,03.10.20,03:00,12.0
52,03.10.20,04:00,8.0
53,03.10.20,05:00,19.0
54,03.10.20,06:00,50.0
55,03.10.20,07:00,123.0
56,03.10.20,08:00,244.0
57,03.10.20,09:00,294.0
58,03.10.20,10:00,327.0
59,03.10.20,11:00,381.0
60,03.10.20,12:00,371.0
61,03.10.20,13:00,312.0
62,03.10.20,14:00,293.0
63,03.10.20,15:00,267.0
64,03.10.20,16:00,278.0
65,03.10.20,17:00,224.0
66,03.10.20,18:00,284.0
67,03.10.20,19:00,251.0
68,03.10.20,20:00,185.0
69,03.10.20,21:00,145.0
70,03.10.20,22:00,85.0
71,03.10.20,23:00,65.0
