,date,time,count
0,01.11.20,00:00,4.0
1,01.11.20,01:00,3.0
2,01.11.20,02:00,5.0
3,01.11.20,03:00,1.0
4,01.11.20,04:00,6.0
5,01.11.20,05:00,16.0
6,01.11.20,06:00,26.0
7,01.11.20,07:00,30.0
8,01.11.20,08:00,36.0
9,01.11.20,09:00,85.0
10,01.11.20,10:00,70.0
11,01.11.20,11:00,121.0
12,01.11.20,12:00,119.0
13,01.11.20,13:00,126.0
14,01.11.20,14:00,156.0
15,01.11.20,15:00,135.0
16,01.11.20,16:00,149.0
17,01.11.20,17:00,181.0
18,01.11.20,18:00,147.0
19,01.11.20,19:00,100.0
20,01.11.20,20:00,110.0
21,01.11.20,21:00,30.0
22,01.11.20,22:00,12.0
23,01.11.20,23:00,7.0
24,02.11.20,00:00,8.0
25,02.11.20,01:00,3.0
26,02.11.20,02:00,3.0
27,02.11.20,03:00,11.0
28,02.11.20,04:00,12.0
29,02.11.20,05:00,114.0
30,02.11.20,06:00,444.0
31,02.11.20,07:00,378.0
32,02.11.20,08:00,301.0
33,02.11.20,09:00,253.0
34,02.11.20,10:00,253.0
35,02.11.20,11:00,241.0
36,02.11.20,12:00,266.0
37,02.11.20,13:00,247.0
38,02.11.20,14:00,237.0
39,02.11.20,15:00,232.0
40,02.11.20,16:00,252.0
41,02.11.20,17:00,219.0
42,02.11.20,18:00,146.0
43,02.11.20,19:00,128.0
44,02.11.20,20:00,105.0
45,02.11.20,21:00,35.0
46,02.11.20,22:00,20.0
47,02.11.20,23:00,8.0
48,03.11.20,00:00,2.0
49,03.11.20,01:00,4.0
50,03.11.20,02:00,4.0
51,03.11.20,03:00,7.0
52,03.11.20,04:00,15.0
53,03.11.20,05:00,118.0
54,03.11.20,06:00,408.0
55,03.11.20,07:00,402.0
56,03.11.20,08:00,322.0
57,03.11.20,09:00,230.0
58,03.11.20,10:00,264.0
59,03.11.20,11:00,258.0
60,03.11.20,12:00,267.0
61,03.11.20,13:00,260.0
62,03.11.20,14:00,231.0
63,03.11.20,15:00,233.0
64,03.11.20,16:00,205.0
65,03.11.20,17:00,211.0
66,03.11.20,18:00,164.0
67,03.11.20,19:00,136.0
68,03.11.20,20:00,109.0
69,03.11.20,21:00,38.0
70,03.11.20,22:00,18.0
71,03.11.20,23:00,5.0
72,04.11.20,00:00,2.0
73,04.11.20,01:00,2.0
74,04.11.20,02:00,5.0
75,04.11.20,03:00,11.0
76,04.11.20,04:00,19.0
77,04.11.20,05:00,121.0
78,04.11.20,06:00,395.0
79,04.11.20,07:00,401.0
80,04.11.20,08:00,353.0
81,04.11.20,09:00,285.0
82,04.11.20,10:00,280.0
83,04.11.20,11:00,262.0
84,04.11.20,12:00,282.0
85,04.11.20,13:00,311.0
86,04.11.20,14:00,255.0
87,04.11.20,15:00,250.0
88,04.11.20,16:00,261.0
89,04.11.20,17:00,208.0
90,04.11.20,18:00,144.0
91,04.11.20,19:00,125.0
92,04.11.20,20:00,118.0
93,04.11.20,21:00,31.0
94,04.11.20,22:00,17.0
95,04.11.20,23:00,9.0
96,05.11.20,00:00,3.0
97,05.11.20,01:00,1.0
98,05.11.20,02:00,7.0
99,05.11.20,03:00,4.0
100,05.11.20,04:00,15.0
101,05.11.20,05:00,116.0
102,05.11.20,06:00,429.0
103,05.11.20,07:00,380.0
104,05.11.20,08:00,354.0
105,05.11.20,09:00,271.0
