,date,time,count
0,01.11.20,00:00,5.0
1,01.11.20,01:00,2.0
2,01.11.20,02:00,2.0
3,01.11.20,03:00,1.0
4,01.11.20,04:00,4.0
5,01.11.20,05:00,5.0
6,01.11.20,06:00,46.0
7,01.11.20,07:00,25.0
8,01.11.20,08:00,32.0
9,01.11.20,09:00,32.0
10,01.11.20,10:00,65.0
11,01.11.20,11:00,55.0
12,01.11.20,12:00,78.0
13,01.11.20,13:00,80.0
14,01.11.20,14:00,87.0
15,01.11.20,15:00,79.0
16,01.11.20,16:00,84.0
17,01.11.20,17:00,70.0
18,01.11.20,18:00,70.0
19,01.11.20,19:00,73.0
20,01.11.20,20:00,65.0
21,01.11.20,21:00,30.0
22,01.11.20,22:00,28.0
23,01.11.20,23:00,12.0
24,02.11.20,00:00,1.0
25,02.11.20,01:00,1.0
26,02.11.20,02:00,4.0
27,02.11.20,03:00,2.0
28,02.11.20,04:00,6.0
29,02.11.20,05:00,64.0
30,02.11.20,06:00,162.0
31,02.11.20,07:00,201.0
32,02.11.20,08:00,204.0
33,02.11.20,09:00,160.0
34,02.11.20,10:00,141.0
35,02.11.20,11:00,154.0
36,02.11.20,12:00,153.0
37,02.11.20,13:00,137.0
38,02.11.20,14:00,142.0
39,02.11.20,15:00,146.0
40,02.11.20,16:00,153.0
41,02.11.20,17:00,133.0
42,02.11.20,18:00,110.0
43,02.11.20,19:00,101.0
44,02.11.20,20:00,74.0
45,02.11.20,21:00,52.0
46,02.11.20,22:00,42.0
47,02.11.20,23:00,14.0
48,03.11.20,00:00,4.0
49,03.11.20,01:00,0.0
50,03.11.20,02:00,3.0
51,03.11.20,03:00,0.0
52,03.11.20,04:00,8.0
53,03.11.20,05:00,53.0
54,03.11.20,06:00,148.0
55,03.11.20,07:00,185.0
56,03.11.20,08:00,193.0
57,03.11.20,09:00,157.0
58,03.11.20,10:00,155.0
59,03.11.20,11:00,163.0
60,03.11.20,12:00,152.0
61,03.11.20,13:00,143.0
62,03.11.20,14:00,146.0
63,03.11.20,15:00,153.0
64,03.11.20,16:00,149.0
65,03.11.20,17:00,135.0
66,03.11.20,18:00,102.0
67,03.11.20,19:00,87.0
68,03.11.20,20:00,85.0
69,03.11.20,21:00,40.0
70,03.11.20,22:00,38.0
71,03.11.20,23:00,17.0
72,04.11.20,00:00,4.0
73,04.11.20,01:00,3.0
74,04.11.20,02:00,3.0
75,04.11.20,03:00,1.0
76,04.11.20,04:00,9.0
77,04.11.20,05:00,51.0
78,04.11.20,06:00,150.0
79,04.11.20,07:00,212.0
80,04.11.20,08:00,219.0
81,04.11.20,09:00,161.0
82,04.11.20,10:00,175.0
83,04.11.20,11:00,149.0
