,date,time,count
0,01.11.20,00:00,20.0
1,01.11.20,01:00,2.0
2,01.11.20,02:00,6.0
3,01.11.20,03:00,5.0
4,01.11.20,04:00,3.0
5,01.11.20,05:00,35.0
6,01.11.20,06:00,64.0
7,01.11.20,07:00,77.0
8,01.11.20,08:00,108.0
9,01.11.20,09:00,173.0
10,01.11.20,10:00,242.0
11,01.11.20,11:00,302.0
12,01.11.20,12:00,352.0
13,01.11.20,13:00,351.0
14,01.11.20,14:00,326.0
15,01.11.20,15:00,349.0
16,01.11.20,16:00,332.0
17,01.11.20,17:00,339.0
18,01.11.20,18:00,300.0
19,01.11.20,19:00,247.0
20,01.11.20,20:00,197.0
21,01.11.20,21:00,77.0
22,01.11.20,22:00,31.0
23,01.11.20,23:00,18.0
24,02.11.20,00:00,12.0
25,02.11.20,01:00,13.0
26,02.11.20,02:00,8.0
27,02.11.20,03:00,26.0
28,02.11.20,04:00,54.0
29,02.11.20,05:00,224.0
30,02.11.20,06:00,459.0
31,02.11.20,07:00,710.0
32,02.11.20,08:00,780.0
33,02.11.20,09:00,972.0
34,02.11.20,10:00,989.0
35,02.11.20,11:00,1010.0
36,02.11.20,12:00,1013.0
37,02.11.20,13:00,1043.0
38,02.11.20,14:00,1088.0
39,02.11.20,15:00,1306.0
40,02.11.20,16:00,1166.0
41,02.11.20,17:00,1010.0
42,02.11.20,18:00,708.0
43,02.11.20,19:00,443.0
44,02.11.20,20:00,324.0
45,02.11.20,21:00,129.0
46,02.11.20,22:00,58.0
47,02.11.20,23:00,29.0
48,03.11.20,00:00,12.0
49,03.11.20,01:00,12.0
50,03.11.20,02:00,15.0
51,03.11.20,03:00,28.0
52,03.11.20,04:00,55.0
53,03.11.20,05:00,226.0
54,03.11.20,06:00,414.0
55,03.11.20,07:00,674.0
56,03.11.20,08:00,784.0
57,03.11.20,09:00,953.0
58,03.11.20,10:00,969.0
59,03.11.20,11:00,1038.0
60,03.11.20,12:00,983.0
61,03.11.20,13:00,1008.0
62,03.11.20,14:00,1075.0
63,03.11.20,15:00,1270.0
64,03.11.20,16:00,1056.0
65,03.11.20,17:00,988.0
66,03.11.20,18:00,726.0
67,03.11.20,19:00,446.0
68,03.11.20,20:00,292.0
69,03.11.20,21:00,121.0
70,03.11.20,22:00,57.0
71,03.11.20,23:00,30.0
72,04.11.20,00:00,8.0
73,04.11.20,01:00,11.0
74,04.11.20,02:00,11.0
75,04.11.20,03:00,23.0
76,04.11.20,04:00,55.0
77,04.11.20,05:00,247.0
78,04.11.20,06:00,403.0
79,04.11.20,07:00,644.0
80,04.11.20,08:00,773.0
81,04.11.20,09:00,896.0
82,04.11.20,10:00,924.0
83,04.11.20,11:00,1036.0
84,04.11.20,12:00,998.0
85,04.11.20,13:00,1014.0
86,04.11.20,14:00,1106.0
87,04.11.20,15:00,1263.0
88,04.11.20,16:00,1136.0
89,04.11.20,17:00,985.0
90,04.11.20,18:00,687.0
91,04.11.20,19:00,440.0
92,04.11.20,20:00,292.0
93,04.11.20,21:00,121.0
94,04.11.20,22:00,51.0
95,04.11.20,23:00,25.0
96,05.11.20,00:00,12.0
97,05.11.20,01:00,7.0
98,05.11.20,02:00,9.0
99,05.11.20,03:00,19.0
100,05.11.20,04:00,62.0
101,05.11.20,05:00,229.0
102,05.11.20,06:00,387.0
103,05.11.20,07:00,655.0
104,05.11.20,08:00,848.0
105,05.11.20,09:00,923.0
106,05.11.20,10:00,1032.0
107,05.11.20,11:00,1100.0
108,05.11.20,12:00,1118.0
109,05.11.20,13:00,1061.0
110,05.11.20,14:00,1115.0
111,05.11.20,15:00,1305.0
112,05.11.20,16:00,1128.0
113,05.11.20,17:00,953.0
114,05.11.20,18:00,701.0
115,05.11.20,19:00,498.0
116,05.11.20,20:00,331.0
117,05.11.20,21:00,123.0
118,05.11.20,22:00,50.0
119,05.11.20,23:00,36.0
120,06.11.20,00:00,12.0
121,06.11.20,01:00,16.0
122,06.11.20,02:00,8.0
123,06.11.20,03:00,24.0
124,06.11.20,04:00,57.0
125,06.11.20,05:00,212.0
126,06.11.20,06:00,380.0
127,06.11.20,07:00,660.0
128,06.11.20,08:00,863.0
129,06.11.20,09:00,1031.0
130,06.11.20,10:00,1122.0
131,06.11.20,11:00,1105.0
132,06.11.20,12:00,1145.0
133,06.11.20,13:00,1217.0
134,06.11.20,14:00,1395.0
135,06.11.20,15:00,1341.0
136,06.11.20,16:00,1093.0
137,06.11.20,17:00,1067.0
138,06.11.20,18:00,758.0
139,06.11.20,19:00,553.0
140,06.11.20,20:00,356.0
141,06.11.20,21:00,119.0
142,06.11.20,22:00,53.0
143,06.11.20,23:00,17.0
144,07.11.20,00:00,23.0
145,07.11.20,01:00,14.0
146,07.11.20,02:00,7.0
147,07.11.20,03:00,8.0
148,07.11.20,04:00,23.0
149,07.11.20,05:00,110.0
150,07.11.20,06:00,193.0
151,07.11.20,07:00,271.0
152,07.11.20,08:00,508.0
153,07.11.20,09:00,746.0
154,07.11.20,10:00,1000.0
155,07.11.20,11:00,1116.0
156,07.11.20,12:00,1004.0
157,07.11.20,13:00,906.0
158,07.11.20,14:00,817.0
159,07.11.20,15:00,775.0
160,07.11.20,16:00,746.0
161,07.11.20,17:00,805.0
162,07.11.20,18:00,653.0
163,07.11.20,19:00,434.0
164,07.11.20,20:00,282.0
165,07.11.20,21:00,81.0
166,07.11.20,22:00,35.0
167,07.11.20,23:00,17.0
168,08.11.20,00:00,14.0
169,08.11.20,01:00,13.0
