,date,time,count
0,01.11.20,00:00,14.0
1,01.11.20,01:00,8.0
2,01.11.20,02:00,4.0
3,01.11.20,03:00,6.0
4,01.11.20,04:00,6.0
5,01.11.20,05:00,41.0
6,01.11.20,06:00,67.0
7,01.11.20,07:00,66.0
8,01.11.20,08:00,116.0
9,01.11.20,09:00,167.0
10,01.11.20,10:00,218.0
11,01.11.20,11:00,280.0
12,01.11.20,12:00,305.0
13,01.11.20,13:00,353.0
14,01.11.20,14:00,329.0
15,01.11.20,15:00,369.0
16,01.11.20,16:00,349.0
17,01.11.20,17:00,391.0
18,01.11.20,18:00,353.0
19,01.11.20,19:00,271.0
20,01.11.20,20:00,230.0
21,01.11.20,21:00,68.0
22,01.11.20,22:00,27.0
23,01.11.20,23:00,15.0
24,02.11.20,00:00,8.0
25,02.11.20,01:00,11.0
26,02.11.20,02:00,11.0
27,02.11.20,03:00,18.0
28,02.11.20,04:00,52.0
29,02.11.20,05:00,325.0
30,02.11.20,06:00,783.0
31,02.11.20,07:00,801.0
32,02.11.20,08:00,664.0
33,02.11.20,09:00,587.0
34,02.11.20,10:00,586.0
35,02.11.20,11:00,569.0
36,02.11.20,12:00,593.0
37,02.11.20,13:00,678.0
38,02.11.20,14:00,646.0
39,02.11.20,15:00,720.0
40,02.11.20,16:00,685.0
41,02.11.20,17:00,690.0
42,02.11.20,18:00,465.0
43,02.11.20,19:00,338.0
44,02.11.20,20:00,278.0
45,02.11.20,21:00,79.0
46,02.11.20,22:00,52.0
47,02.11.20,23:00,28.0
48,03.11.20,00:00,16.0
49,03.11.20,01:00,10.0
50,03.11.20,02:00,14.0
51,03.11.20,03:00,19.0
52,03.11.20,04:00,57.0
53,03.11.20,05:00,313.0
54,03.11.20,06:00,765.0
55,03.11.20,07:00,784.0
56,03.11.20,08:00,639.0
57,03.11.20,09:00,604.0
58,03.11.20,10:00,647.0
59,03.11.20,11:00,667.0
60,03.11.20,12:00,629.0
61,03.11.20,13:00,701.0
62,03.11.20,14:00,683.0
63,03.11.20,15:00,694.0
64,03.11.20,16:00,663.0
65,03.11.20,17:00,649.0
