,date,time,count
0,01.11.20,00:00,8.0
1,01.11.20,01:00,7.0
2,01.11.20,02:00,5.0
3,01.11.20,03:00,7.0
4,01.11.20,04:00,7.0
5,01.11.20,05:00,35.0
6,01.11.20,06:00,73.0
7,01.11.20,07:00,80.0
8,01.11.20,08:00,109.0
9,01.11.20,09:00,162.0
10,01.11.20,10:00,217.0
11,01.11.20,11:00,264.0
12,01.11.20,12:00,315.0
13,01.11.20,13:00,355.0
14,01.11.20,14:00,316.0
15,01.11.20,15:00,317.0
16,01.11.20,16:00,337.0
17,01.11.20,17:00,388.0
18,01.11.20,18:00,347.0
19,01.11.20,19:00,281.0
20,01.11.20,20:00,199.0
21,01.11.20,21:00,72.0
22,01.11.20,22:00,39.0
23,01.11.20,23:00,10.0
24,02.11.20,00:00,19.0
25,02.11.20,01:00,12.0
26,02.11.20,02:00,18.0
27,02.11.20,03:00,33.0
28,02.11.20,04:00,76.0
29,02.11.20,05:00,368.0
30,02.11.20,06:00,1128.0
31,02.11.20,07:00,1221.0
32,02.11.20,08:00,975.0
33,02.11.20,09:00,829.0
34,02.11.20,10:00,781.0
35,02.11.20,11:00,781.0
36,02.11.20,12:00,787.0
37,02.11.20,13:00,760.0
38,02.11.20,14:00,746.0
39,02.11.20,15:00,783.0
40,02.11.20,16:00,781.0
41,02.11.20,17:00,687.0
42,02.11.20,18:00,471.0
43,02.11.20,19:00,349.0
44,02.11.20,20:00,274.0
45,02.11.20,21:00,91.0
46,02.11.20,22:00,72.0
47,02.11.20,23:00,23.0
48,03.11.20,00:00,19.0
49,03.11.20,01:00,8.0
50,03.11.20,02:00,15.0
51,03.11.20,03:00,27.0
52,03.11.20,04:00,69.0
53,03.11.20,05:00,374.0
54,03.11.20,06:00,1129.0
55,03.11.20,07:00,1134.0
56,03.11.20,08:00,951.0
57,03.11.20,09:00,826.0
58,03.11.20,10:00,785.0
59,03.11.20,11:00,810.0
60,03.11.20,12:00,749.0
61,03.11.20,13:00,763.0
62,03.11.20,14:00,769.0
63,03.11.20,15:00,769.0
64,03.11.20,16:00,710.0
65,03.11.20,17:00,696.0
66,03.11.20,18:00,521.0
67,03.11.20,19:00,353.0
68,03.11.20,20:00,247.0
69,03.11.20,21:00,103.0
70,03.11.20,22:00,69.0
71,03.11.20,23:00,32.0
72,04.11.20,00:00,11.0
73,04.11.20,01:00,13.0
74,04.11.20,02:00,14.0
75,04.11.20,03:00,23.0
76,04.11.20,04:00,65.0
77,04.11.20,05:00,373.0
78,04.11.20,06:00,1103.0
79,04.11.20,07:00,1127.0
80,04.11.20,08:00,973.0
81,04.11.20,09:00,842.0
82,04.11.20,10:00,842.0
83,04.11.20,11:00,775.0
84,04.11.20,12:00,826.0
85,04.11.20,13:00,798.0
86,04.11.20,14:00,783.0
87,04.11.20,15:00,786.0
88,04.11.20,16:00,736.0
89,04.11.20,17:00,694.0
90,04.11.20,18:00,487.0
91,04.11.20,19:00,329.0
92,04.11.20,20:00,241.0
93,04.11.20,21:00,104.0
94,04.11.20,22:00,61.0
95,04.11.20,23:00,25.0
96,05.11.20,00:00,19.0
97,05.11.20,01:00,14.0
98,05.11.20,02:00,14.0
99,05.11.20,03:00,28.0
100,05.11.20,04:00,56.0
101,05.11.20,05:00,365.0
102,05.11.20,06:00,1071.0
103,05.11.20,07:00,1110.0
104,05.11.20,08:00,954.0
105,05.11.20,09:00,827.0
106,05.11.20,10:00,807.0
107,05.11.20,11:00,799.0
108,05.11.20,12:00,829.0
109,05.11.20,13:00,795.0
110,05.11.20,14:00,778.0
111,05.11.20,15:00,816.0
112,05.11.20,16:00,794.0
113,05.11.20,17:00,715.0
114,05.11.20,18:00,539.0
115,05.11.20,19:00,331.0
116,05.11.20,20:00,263.0
117,05.11.20,21:00,106.0
118,05.11.20,22:00,67.0
119,05.11.20,23:00,24.0
120,06.11.20,00:00,20.0
121,06.11.20,01:00,11.0
122,06.11.20,02:00,11.0
123,06.11.20,03:00,26.0
124,06.11.20,04:00,53.0
125,06.11.20,05:00,349.0
126,06.11.20,06:00,1066.0
127,06.11.20,07:00,1132.0
128,06.11.20,08:00,1033.0
129,06.11.20,09:00,892.0
