,date,time,count
0,01.11.20,00:00,5.0
1,01.11.20,01:00,4.0
2,01.11.20,02:00,8.0
3,01.11.20,03:00,3.0
4,01.11.20,04:00,13.0
5,01.11.20,05:00,78.0
6,01.11.20,06:00,213.0
7,01.11.20,07:00,122.0
8,01.11.20,08:00,129.0
9,01.11.20,09:00,216.0
10,01.11.20,10:00,234.0
11,01.11.20,11:00,347.0
12,01.11.20,12:00,436.0
13,01.11.20,13:00,409.0
14,01.11.20,14:00,464.0
15,01.11.20,15:00,469.0
16,01.11.20,16:00,465.0
17,01.11.20,17:00,479.0
18,01.11.20,18:00,397.0
19,01.11.20,19:00,265.0
20,01.11.20,20:00,242.0
21,01.11.20,21:00,52.0
22,01.11.20,22:00,35.0
23,01.11.20,23:00,22.0
24,02.11.20,00:00,25.0
25,02.11.20,01:00,7.0
26,02.11.20,02:00,11.0
27,02.11.20,03:00,21.0
28,02.11.20,04:00,61.0
29,02.11.20,05:00,454.0
30,02.11.20,06:00,1097.0
31,02.11.20,07:00,1003.0
32,02.11.20,08:00,845.0
33,02.11.20,09:00,730.0
34,02.11.20,10:00,787.0
35,02.11.20,11:00,793.0
36,02.11.20,12:00,819.0
37,02.11.20,13:00,757.0
38,02.11.20,14:00,735.0
39,02.11.20,15:00,767.0
40,02.11.20,16:00,731.0
41,02.11.20,17:00,718.0
42,02.11.20,18:00,521.0
43,02.11.20,19:00,351.0
44,02.11.20,20:00,304.0
45,02.11.20,21:00,86.0
46,02.11.20,22:00,42.0
47,02.11.20,23:00,26.0
48,03.11.20,00:00,15.0
49,03.11.20,01:00,6.0
50,03.11.20,02:00,12.0
51,03.11.20,03:00,18.0
52,03.11.20,04:00,70.0
53,03.11.20,05:00,441.0
54,03.11.20,06:00,1059.0
55,03.11.20,07:00,1002.0
56,03.11.20,08:00,835.0
57,03.11.20,09:00,733.0
58,03.11.20,10:00,733.0
59,03.11.20,11:00,759.0
60,03.11.20,12:00,768.0
61,03.11.20,13:00,739.0
62,03.11.20,14:00,745.0
63,03.11.20,15:00,748.0
64,03.11.20,16:00,669.0
65,03.11.20,17:00,705.0
66,03.11.20,18:00,510.0
67,03.11.20,19:00,342.0
68,03.11.20,20:00,307.0
69,03.11.20,21:00,85.0
70,03.11.20,22:00,43.0
71,03.11.20,23:00,26.0
72,04.11.20,00:00,19.0
73,04.11.20,01:00,12.0
74,04.11.20,02:00,13.0
75,04.11.20,03:00,24.0
76,04.11.20,04:00,65.0
77,04.11.20,05:00,425.0
78,04.11.20,06:00,1094.0
79,04.11.20,07:00,957.0
80,04.11.20,08:00,822.0
81,04.11.20,09:00,712.0
82,04.11.20,10:00,741.0
83,04.11.20,11:00,705.0
84,04.11.20,12:00,785.0
85,04.11.20,13:00,782.0
86,04.11.20,14:00,752.0
87,04.11.20,15:00,738.0
88,04.11.20,16:00,678.0
89,04.11.20,17:00,679.0
90,04.11.20,18:00,474.0
91,04.11.20,19:00,332.0
92,04.11.20,20:00,265.0
93,04.11.20,21:00,101.0
94,04.11.20,22:00,51.0
95,04.11.20,23:00,17.0
96,05.11.20,00:00,16.0
97,05.11.20,01:00,8.0
98,05.11.20,02:00,13.0
99,05.11.20,03:00,16.0
100,05.11.20,04:00,65.0
101,05.11.20,05:00,438.0
102,05.11.20,06:00,1075.0
103,05.11.20,07:00,1029.0
104,05.11.20,08:00,900.0
105,05.11.20,09:00,705.0
106,05.11.20,10:00,807.0
107,05.11.20,11:00,776.0
108,05.11.20,12:00,760.0
109,05.11.20,13:00,787.0
110,05.11.20,14:00,737.0
111,05.11.20,15:00,754.0
112,05.11.20,16:00,734.0
113,05.11.20,17:00,733.0
114,05.11.20,18:00,535.0
115,05.11.20,19:00,374.0
116,05.11.20,20:00,278.0
117,05.11.20,21:00,114.0
118,05.11.20,22:00,50.0
119,05.11.20,23:00,32.0
120,06.11.20,00:00,19.0
121,06.11.20,01:00,13.0
122,06.11.20,02:00,5.0
123,06.11.20,03:00,16.0
124,06.11.20,04:00,68.0
125,06.11.20,05:00,438.0
126,06.11.20,06:00,1111.0
127,06.11.20,07:00,956.0
128,06.11.20,08:00,813.0
129,06.11.20,09:00,700.0
130,06.11.20,10:00,838.0
131,06.11.20,11:00,820.0
132,06.11.20,12:00,818.0
133,06.11.20,13:00,761.0
134,06.11.20,14:00,799.0
135,06.11.20,15:00,738.0
136,06.11.20,16:00,795.0
137,06.11.20,17:00,739.0
138,06.11.20,18:00,497.0
