,date,time,count
0,01.10.20,00:00,31.0
1,01.10.20,01:00,14.0
2,01.10.20,02:00,16.0
3,01.10.20,03:00,14.0
4,01.10.20,04:00,64.0
5,01.10.20,05:00,188.0
6,01.10.20,06:00,279.0
7,01.10.20,07:00,340.0
8,01.10.20,08:00,361.0
9,01.10.20,09:00,293.0
10,01.10.20,10:00,327.0
11,01.10.20,11:00,374.0
12,01.10.20,12:00,436.0
13,01.10.20,13:00,443.0
14,01.10.20,14:00,535.0
15,01.10.20,15:00,698.0
16,01.10.20,16:00,562.0
17,01.10.20,17:00,504.0
18,01.10.20,18:00,464.0
19,01.10.20,19:00,371.0
20,01.10.20,20:00,284.0
21,01.10.20,21:00,215.0
22,01.10.20,22:00,153.0
23,01.10.20,23:00,76.0
24,02.10.20,00:00,24.0
25,02.10.20,01:00,17.0
26,02.10.20,02:00,11.0
27,02.10.20,03:00,27.0
28,02.10.20,04:00,70.0
29,02.10.20,05:00,194.0
30,02.10.20,06:00,281.0
31,02.10.20,07:00,309.0
32,02.10.20,08:00,364.0
33,02.10.20,09:00,325.0
34,02.10.20,10:00,354.0
35,02.10.20,11:00,388.0
36,02.10.20,12:00,429.0
37,02.10.20,13:00,450.0
38,02.10.20,14:00,599.0
39,02.10.20,15:00,641.0
40,02.10.20,16:00,543.0
41,02.10.20,17:00,451.0
42,02.10.20,18:00,406.0
43,02.10.20,19:00,299.0
44,02.10.20,20:00,246.0
45,02.10.20,21:00,216.0
46,02.10.20,22:00,143.0
47,02.10.20,23:00,74.0
48,03.10.20,00:00,49.0
49,03.10.20,01:00,20.0
50,03.10.20,02:00,25.0
51,03.10.20,03:00,29.0
52,03.10.20,04:00,27.0
53,03.10.20,05:00,75.0
54,03.10.20,06:00,104.0
55,03.10.20,07:00,130.0
56,03.10.20,08:00,188.0
57,03.10.20,09:00,283.0
58,03.10.20,10:00,330.0
59,03.10.20,11:00,380.0
60,03.10.20,12:00,340.0
61,03.10.20,13:00,316.0
62,03.10.20,14:00,316.0
63,03.10.20,15:00,275.0
64,03.10.20,16:00,261.0
65,03.10.20,17:00,255.0
66,03.10.20,18:00,297.0
67,03.10.20,19:00,255.0
68,03.10.20,20:00,191.0
69,03.10.20,21:00,139.0
70,03.10.20,22:00,135.0
71,03.10.20,23:00,73.0
72,04.10.20,00:00,51.0
73,04.10.20,01:00,19.0
74,04.10.20,02:00,8.0
75,04.10.20,03:00,14.0
76,04.10.20,04:00,11.0
77,04.10.20,05:00,23.0
78,04.10.20,06:00,60.0
79,04.10.20,07:00,71.0
80,04.10.20,08:00,104.0
81,04.10.20,09:00,204.0
82,04.10.20,10:00,245.0
83,04.10.20,11:00,261.0
84,04.10.20,12:00,288.0
85,04.10.20,13:00,290.0
86,04.10.20,14:00,285.0
87,04.10.20,15:00,306.0
88,04.10.20,16:00,277.0
89,04.10.20,17:00,294.0
90,04.10.20,18:00,302.0
91,04.10.20,19:00,242.0
92,04.10.20,20:00,208.0
93,04.10.20,21:00,137.0
94,04.10.20,22:00,108.0
95,04.10.20,23:00,48.0
96,05.10.20,00:00,35.0
97,05.10.20,01:00,8.0
98,05.10.20,02:00,16.0
99,05.10.20,03:00,24.0
100,05.10.20,04:00,53.0
101,05.10.20,05:00,201.0
102,05.10.20,06:00,261.0
103,05.10.20,07:00,283.0
104,05.10.20,08:00,319.0
105,05.10.20,09:00,295.0
106,05.10.20,10:00,335.0
107,05.10.20,11:00,343.0
108,05.10.20,12:00,331.0
109,05.10.20,13:00,431.0
110,05.10.20,14:00,591.0
111,05.10.20,15:00,618.0
112,05.10.20,16:00,564.0
113,05.10.20,17:00,501.0
114,05.10.20,18:00,443.0
115,05.10.20,19:00,317.0
116,05.10.20,20:00,252.0
117,05.10.20,21:00,182.0
118,05.10.20,22:00,132.0
119,05.10.20,23:00,49.0
120,06.10.20,00:00,28.0
121,06.10.20,01:00,16.0
122,06.10.20,02:00,10.0
123,06.10.20,03:00,22.0
124,06.10.20,04:00,52.0
125,06.10.20,05:00,188.0
126,06.10.20,06:00,271.0
127,06.10.20,07:00,306.0
128,06.10.20,08:00,339.0
129,06.10.20,09:00,309.0
130,06.10.20,10:00,346.0
131,06.10.20,11:00,324.0
132,06.10.20,12:00,360.0
133,06.10.20,13:00,437.0
134,06.10.20,14:00,589.0
135,06.10.20,15:00,688.0
136,06.10.20,16:00,628.0
137,06.10.20,17:00,474.0
138,06.10.20,18:00,436.0
139,06.10.20,19:00,313.0
140,06.10.20,20:00,259.0
141,06.10.20,21:00,198.0
142,06.10.20,22:00,144.0
143,06.10.20,23:00,54.0
144,07.10.20,00:00,23.0
145,07.10.20,01:00,19.0
146,07.10.20,02:00,10.0
147,07.10.20,03:00,29.0
148,07.10.20,04:00,61.0
149,07.10.20,05:00,177.0
150,07.10.20,06:00,270.0
151,07.10.20,07:00,310.0
152,07.10.20,08:00,296.0
153,07.10.20,09:00,271.0
154,07.10.20,10:00,300.0
155,07.10.20,11:00,341.0
156,07.10.20,12:00,387.0
157,07.10.20,13:00,396.0
158,07.10.20,14:00,560.0
159,07.10.20,15:00,657.0
160,07.10.20,16:00,553.0
161,07.10.20,17:00,436.0
162,07.10.20,18:00,432.0
163,07.10.20,19:00,333.0
164,07.10.20,20:00,247.0
165,07.10.20,21:00,215.0
166,07.10.20,22:00,162.0
167,07.10.20,23:00,57.0
168,08.10.20,00:00,27.0
169,08.10.20,01:00,10.0
170,08.10.20,02:00,13.0
171,08.10.20,03:00,22.0
172,08.10.20,04:00,58.0
173,08.10.20,05:00,201.0
174,08.10.20,06:00,279.0
175,08.10.20,07:00,280.0
176,08.10.20,08:00,388.0
177,08.10.20,09:00,323.0
178,08.10.20,10:00,352.0
179,08.10.20,11:00,356.0
180,08.10.20,12:00,389.0
181,08.10.20,13:00,441.0
182,08.10.20,14:00,639.0
183,08.10.20,15:00,871.0
184,08.10.20,16:00,821.0
185,08.10.20,17:00,604.0
186,08.10.20,18:00,467.0
187,08.10.20,19:00,361.0
188,08.10.20,20:00,308.0
189,08.10.20,21:00,189.0
190,08.10.20,22:00,164.0
191,08.10.20,23:00,65.0
192,09.10.20,00:00,27.0
193,09.10.20,01:00,20.0
194,09.10.20,02:00,12.0
195,09.10.20,03:00,22.0
196,09.10.20,04:00,51.0
197,09.10.20,05:00,200.0
198,09.10.20,06:00,266.0
199,09.10.20,07:00,289.0
200,09.10.20,08:00,336.0
201,09.10.20,09:00,300.0
202,09.10.20,10:00,351.0
203,09.10.20,11:00,371.0
204,09.10.20,12:00,380.0
205,09.10.20,13:00,471.0
206,09.10.20,14:00,582.0
207,09.10.20,15:00,713.0
208,09.10.20,16:00,598.0
209,09.10.20,17:00,490.0
210,09.10.20,18:00,383.0
211,09.10.20,19:00,334.0
212,09.10.20,20:00,269.0
213,09.10.20,21:00,222.0
214,09.10.20,22:00,172.0
215,09.10.20,23:00,89.0
216,10.10.20,00:00,50.0
217,10.10.20,01:00,23.0
218,10.10.20,02:00,14.0
219,10.10.20,03:00,19.0
220,10.10.20,04:00,14.0
221,10.10.20,05:00,85.0
222,10.10.20,06:00,131.0
223,10.10.20,07:00,148.0
224,10.10.20,08:00,207.0
225,10.10.20,09:00,273.0
226,10.10.20,10:00,329.0
227,10.10.20,11:00,344.0
228,10.10.20,12:00,345.0
229,10.10.20,13:00,369.0
230,10.10.20,14:00,392.0
231,10.10.20,15:00,364.0
232,10.10.20,16:00,323.0
233,10.10.20,17:00,328.0
234,10.10.20,18:00,337.0
235,10.10.20,19:00,273.0
236,10.10.20,20:00,238.0
237,10.10.20,21:00,160.0
238,10.10.20,22:00,124.0
239,10.10.20,23:00,94.0
240,11.10.20,00:00,25.0
241,11.10.20,01:00,24.0
242,11.10.20,02:00,19.0
243,11.10.20,03:00,10.0
244,11.10.20,04:00,8.0
245,11.10.20,05:00,31.0
246,11.10.20,06:00,46.0
247,11.10.20,07:00,52.0
248,11.10.20,08:00,95.0
249,11.10.20,09:00,120.0
250,11.10.20,10:00,177.0
251,11.10.20,11:00,219.0
252,11.10.20,12:00,246.0
253,11.10.20,13:00,281.0
254,11.10.20,14:00,227.0
255,11.10.20,15:00,228.0
256,11.10.20,16:00,215.0
257,11.10.20,17:00,248.0
258,11.10.20,18:00,219.0
259,11.10.20,19:00,202.0
260,11.10.20,20:00,162.0
261,11.10.20,21:00,93.0
262,11.10.20,22:00,90.0
263,11.10.20,23:00,47.0
264,12.10.20,00:00,34.0
265,12.10.20,01:00,17.0
266,12.10.20,02:00,16.0
267,12.10.20,03:00,26.0
268,12.10.20,04:00,65.0
269,12.10.20,05:00,194.0
270,12.10.20,06:00,264.0
271,12.10.20,07:00,290.0
272,12.10.20,08:00,336.0
273,12.10.20,09:00,329.0
274,12.10.20,10:00,306.0
275,12.10.20,11:00,334.0
276,12.10.20,12:00,361.0
277,12.10.20,13:00,409.0
278,12.10.20,14:00,520.0
279,12.10.20,15:00,706.0
280,12.10.20,16:00,563.0
281,12.10.20,17:00,461.0
282,12.10.20,18:00,419.0
283,12.10.20,19:00,295.0
284,12.10.20,20:00,258.0
285,12.10.20,21:00,189.0
286,12.10.20,22:00,119.0
287,12.10.20,23:00,60.0
288,13.10.20,00:00,39.0
289,13.10.20,01:00,14.0
290,13.10.20,02:00,10.0
291,13.10.20,03:00,25.0
292,13.10.20,04:00,58.0
293,13.10.20,05:00,205.0
294,13.10.20,06:00,256.0
295,13.10.20,07:00,348.0
296,13.10.20,08:00,345.0
297,13.10.20,09:00,309.0
298,13.10.20,10:00,339.0
299,13.10.20,11:00,339.0
300,13.10.20,12:00,398.0
301,13.10.20,13:00,407.0
302,13.10.20,14:00,534.0
303,13.10.20,15:00,642.0
304,13.10.20,16:00,593.0
305,13.10.20,17:00,475.0
306,13.10.20,18:00,422.0
307,13.10.20,19:00,304.0
308,13.10.20,20:00,244.0
309,13.10.20,21:00,178.0
310,13.10.20,22:00,151.0
311,13.10.20,23:00,53.0
312,14.10.20,00:00,27.0
313,14.10.20,01:00,16.0
314,14.10.20,02:00,11.0
315,14.10.20,03:00,22.0
316,14.10.20,04:00,65.0
317,14.10.20,05:00,176.0
318,14.10.20,06:00,280.0
319,14.10.20,07:00,334.0
320,14.10.20,08:00,336.0
321,14.10.20,09:00,318.0
322,14.10.20,10:00,354.0
323,14.10.20,11:00,334.0
324,14.10.20,12:00,384.0
325,14.10.20,13:00,434.0
326,14.10.20,14:00,586.0
327,14.10.20,15:00,687.0
328,14.10.20,16:00,580.0
329,14.10.20,17:00,524.0
330,14.10.20,18:00,401.0
331,14.10.20,19:00,319.0
332,14.10.20,20:00,240.0
333,14.10.20,21:00,198.0
334,14.10.20,22:00,134.0
335,14.10.20,23:00,55.0
336,15.10.20,00:00,34.0
337,15.10.20,01:00,18.0
338,15.10.20,02:00,12.0
339,15.10.20,03:00,29.0
340,15.10.20,04:00,66.0
341,15.10.20,05:00,180.0
342,15.10.20,06:00,251.0
343,15.10.20,07:00,328.0
344,15.10.20,08:00,331.0
345,15.10.20,09:00,327.0
346,15.10.20,10:00,312.0
347,15.10.20,11:00,347.0
348,15.10.20,12:00,391.0
349,15.10.20,13:00,403.0
350,15.10.20,14:00,515.0
351,15.10.20,15:00,647.0
352,15.10.20,16:00,589.0
353,15.10.20,17:00,456.0
354,15.10.20,18:00,391.0
355,15.10.20,19:00,321.0
356,15.10.20,20:00,252.0
357,15.10.20,21:00,179.0
358,15.10.20,22:00,141.0
359,15.10.20,23:00,62.0
360,16.10.20,00:00,49.0
361,16.10.20,01:00,14.0
362,16.10.20,02:00,10.0
363,16.10.20,03:00,22.0
364,16.10.20,04:00,63.0
365,16.10.20,05:00,183.0
366,16.10.20,06:00,249.0
367,16.10.20,07:00,332.0
368,16.10.20,08:00,356.0
369,16.10.20,09:00,274.0
370,16.10.20,10:00,344.0
371,16.10.20,11:00,382.0
372,16.10.20,12:00,405.0
373,16.10.20,13:00,444.0
374,16.10.20,14:00,586.0
375,16.10.20,15:00,706.0
376,16.10.20,16:00,512.0
377,16.10.20,17:00,449.0
378,16.10.20,18:00,346.0
379,16.10.20,19:00,0.0
380,16.10.20,20:00,0.0
381,16.10.20,21:00,0.0
382,16.10.20,22:00,1.0
383,16.10.20,23:00,76.0
384,17.10.20,00:00,59.0
385,17.10.20,01:00,41.0
386,17.10.20,02:00,13.0
387,17.10.20,03:00,21.0
388,17.10.20,04:00,31.0
389,17.10.20,05:00,72.0
390,17.10.20,06:00,115.0
391,17.10.20,07:00,133.0
392,17.10.20,08:00,190.0
393,17.10.20,09:00,289.0
394,17.10.20,10:00,314.0
395,17.10.20,11:00,379.0
396,17.10.20,12:00,379.0
397,17.10.20,13:00,371.0
398,17.10.20,14:00,353.0
399,17.10.20,15:00,338.0
400,17.10.20,16:00,299.0
401,17.10.20,17:00,272.0
402,17.10.20,18:00,254.0
403,17.10.20,19:00,229.0
404,17.10.20,20:00,164.0
405,17.10.20,21:00,134.0
406,17.10.20,22:00,70.0
407,17.10.20,23:00,41.0
408,18.10.20,00:00,37.0
409,18.10.20,01:00,29.0
410,18.10.20,02:00,13.0
411,18.10.20,03:00,7.0
412,18.10.20,04:00,10.0
413,18.10.20,05:00,21.0
414,18.10.20,06:00,55.0
415,18.10.20,07:00,72.0
416,18.10.20,08:00,98.0
417,18.10.20,09:00,157.0
418,18.10.20,10:00,276.0
419,18.10.20,11:00,263.0
420,18.10.20,12:00,309.0
421,18.10.20,13:00,320.0
422,18.10.20,14:00,320.0
423,18.10.20,15:00,349.0
424,18.10.20,16:00,265.0
425,18.10.20,17:00,223.0
426,18.10.20,18:00,224.0
427,18.10.20,19:00,203.0
428,18.10.20,20:00,134.0
429,18.10.20,21:00,85.0
430,18.10.20,22:00,75.0
431,18.10.20,23:00,33.0
432,19.10.20,00:00,29.0
433,19.10.20,01:00,15.0
434,19.10.20,02:00,13.0
435,19.10.20,03:00,23.0
436,19.10.20,04:00,62.0
437,19.10.20,05:00,188.0
438,19.10.20,06:00,266.0
439,19.10.20,07:00,270.0
440,19.10.20,08:00,312.0
441,19.10.20,09:00,310.0
442,19.10.20,10:00,348.0
443,19.10.20,11:00,305.0
444,19.10.20,12:00,348.0
445,19.10.20,13:00,414.0
446,19.10.20,14:00,541.0
447,19.10.20,15:00,645.0
448,19.10.20,16:00,533.0
449,19.10.20,17:00,451.0
450,19.10.20,18:00,345.0
451,19.10.20,19:00,251.0
452,19.10.20,20:00,197.0
453,19.10.20,21:00,132.0
454,19.10.20,22:00,100.0
455,19.10.20,23:00,32.0
456,20.10.20,00:00,19.0
457,20.10.20,01:00,14.0
458,20.10.20,02:00,8.0
459,20.10.20,03:00,18.0
460,20.10.20,04:00,67.0
461,20.10.20,05:00,195.0
462,20.10.20,06:00,260.0
463,20.10.20,07:00,284.0
464,20.10.20,08:00,308.0
465,20.10.20,09:00,285.0
466,20.10.20,10:00,342.0
467,20.10.20,11:00,303.0
468,20.10.20,12:00,305.0
469,20.10.20,13:00,393.0
470,20.10.20,14:00,541.0
471,20.10.20,15:00,621.0
472,20.10.20,16:00,527.0
473,20.10.20,17:00,450.0
474,20.10.20,18:00,381.0
475,20.10.20,19:00,276.0
476,20.10.20,20:00,253.0
477,20.10.20,21:00,59.0
478,20.10.20,22:00,61.0
479,20.10.20,23:00,12.0
480,21.10.20,00:00,9.0
481,21.10.20,01:00,10.0
482,21.10.20,02:00,11.0
483,21.10.20,03:00,19.0
484,21.10.20,04:00,69.0
485,21.10.20,05:00,173.0
486,21.10.20,06:00,258.0
487,21.10.20,07:00,294.0
488,21.10.20,08:00,330.0
