,date,time,count
0,01.10.20,00:00,8.0
1,01.10.20,01:00,5.0
2,01.10.20,02:00,3.0
3,01.10.20,03:00,2.0
4,01.10.20,04:00,12.0
5,01.10.20,05:00,19.0
6,01.10.20,06:00,97.0
7,01.10.20,07:00,158.0
8,01.10.20,08:00,148.0
9,01.10.20,09:00,123.0
10,01.10.20,10:00,129.0
11,01.10.20,11:00,106.0
12,01.10.20,12:00,127.0
13,01.10.20,13:00,136.0
14,01.10.20,14:00,154.0
15,01.10.20,15:00,227.0
16,01.10.20,16:00,236.0
17,01.10.20,17:00,205.0
18,01.10.20,18:00,184.0
19,01.10.20,19:00,129.0
20,01.10.20,20:00,81.0
21,01.10.20,21:00,53.0
22,01.10.20,22:00,50.0
23,01.10.20,23:00,12.0
24,02.10.20,00:00,3.0
25,02.10.20,01:00,3.0
26,02.10.20,02:00,3.0
27,02.10.20,03:00,4.0
28,02.10.20,04:00,4.0
29,02.10.20,05:00,19.0
30,02.10.20,06:00,94.0
31,02.10.20,07:00,183.0
32,02.10.20,08:00,142.0
33,02.10.20,09:00,114.0
34,02.10.20,10:00,109.0
35,02.10.20,11:00,132.0
36,02.10.20,12:00,144.0
37,02.10.20,13:00,143.0
38,02.10.20,14:00,144.0
39,02.10.20,15:00,196.0
40,02.10.20,16:00,203.0
41,02.10.20,17:00,181.0
42,02.10.20,18:00,166.0
43,02.10.20,19:00,108.0
44,02.10.20,20:00,87.0
45,02.10.20,21:00,69.0
46,02.10.20,22:00,54.0
47,02.10.20,23:00,29.0
48,03.10.20,00:00,20.0
49,03.10.20,01:00,6.0
50,03.10.20,02:00,3.0
51,03.10.20,03:00,2.0
52,03.10.20,04:00,3.0
53,03.10.20,05:00,8.0
54,03.10.20,06:00,16.0
55,03.10.20,07:00,40.0
56,03.10.20,08:00,66.0
57,03.10.20,09:00,106.0
58,03.10.20,10:00,132.0
59,03.10.20,11:00,158.0
60,03.10.20,12:00,125.0
61,03.10.20,13:00,100.0
62,03.10.20,14:00,76.0
63,03.10.20,15:00,93.0
64,03.10.20,16:00,94.0
65,03.10.20,17:00,82.0
66,03.10.20,18:00,88.0
67,03.10.20,19:00,73.0
68,03.10.20,20:00,65.0
