,date,time,count
0,01.10.20,00:00,44.0
1,01.10.20,01:00,22.0
2,01.10.20,02:00,11.0
3,01.10.20,03:00,30.0
4,01.10.20,04:00,55.0
5,01.10.20,05:00,299.0
6,01.10.20,06:00,906.0
7,01.10.20,07:00,1108.0
8,01.10.20,08:00,805.0
9,01.10.20,09:00,772.0
10,01.10.20,10:00,829.0
11,01.10.20,11:00,947.0
12,01.10.20,12:00,964.0
13,01.10.20,13:00,890.0
14,01.10.20,14:00,941.0
15,01.10.20,15:00,874.0
16,01.10.20,16:00,909.0
17,01.10.20,17:00,967.0
18,01.10.20,18:00,978.0
19,01.10.20,19:00,820.0
20,01.10.20,20:00,600.0
21,01.10.20,21:00,351.0
22,01.10.20,22:00,204.0
23,01.10.20,23:00,95.0
24,02.10.20,00:00,47.0
25,02.10.20,01:00,18.0
26,02.10.20,02:00,15.0
27,02.10.20,03:00,25.0
28,02.10.20,04:00,51.0
29,02.10.20,05:00,316.0
30,02.10.20,06:00,923.0
31,02.10.20,07:00,1072.0
32,02.10.20,08:00,826.0
33,02.10.20,09:00,807.0
34,02.10.20,10:00,900.0
35,02.10.20,11:00,983.0
36,02.10.20,12:00,986.0
37,02.10.20,13:00,980.0
38,02.10.20,14:00,1014.0
39,02.10.20,15:00,890.0
40,02.10.20,16:00,929.0
41,02.10.20,17:00,891.0
42,02.10.20,18:00,923.0
43,02.10.20,19:00,923.0
44,02.10.20,20:00,695.0
45,02.10.20,21:00,375.0
46,02.10.20,22:00,247.0
47,02.10.20,23:00,184.0
48,03.10.20,00:00,67.0
49,03.10.20,01:00,51.0
50,03.10.20,02:00,22.0
51,03.10.20,03:00,24.0
52,03.10.20,04:00,42.0
53,03.10.20,05:00,126.0
54,03.10.20,06:00,182.0
55,03.10.20,07:00,249.0
56,03.10.20,08:00,324.0
57,03.10.20,09:00,510.0
58,03.10.20,10:00,704.0
59,03.10.20,11:00,852.0
60,03.10.20,12:00,972.0
61,03.10.20,13:00,899.0
62,03.10.20,14:00,846.0
63,03.10.20,15:00,808.0
64,03.10.20,16:00,758.0
65,03.10.20,17:00,793.0
66,03.10.20,18:00,797.0
67,03.10.20,19:00,754.0
68,03.10.20,20:00,591.0
69,03.10.20,21:00,332.0
70,03.10.20,22:00,211.0
71,03.10.20,23:00,129.0
72,04.10.20,00:00,66.0
73,04.10.20,01:00,23.0
74,04.10.20,02:00,29.0
