,date,time,count
0,01.10.20,00:00,17.0
1,01.10.20,01:00,11.0
2,01.10.20,02:00,9.0
3,01.10.20,03:00,5.0
4,01.10.20,04:00,11.0
5,01.10.20,05:00,47.0
6,01.10.20,06:00,127.0
7,01.10.20,07:00,186.0
8,01.10.20,08:00,238.0
9,01.10.20,09:00,239.0
10,01.10.20,10:00,312.0
11,01.10.20,11:00,403.0
12,01.10.20,12:00,418.0
13,01.10.20,13:00,413.0
14,01.10.20,14:00,616.0
15,01.10.20,15:00,918.0
16,01.10.20,16:00,824.0
17,01.10.20,17:00,519.0
18,01.10.20,18:00,453.0
19,01.10.20,19:00,413.0
20,01.10.20,20:00,293.0
21,01.10.20,21:00,188.0
22,01.10.20,22:00,137.0
23,01.10.20,23:00,40.0
24,02.10.20,00:00,36.0
25,02.10.20,01:00,11.0
26,02.10.20,02:00,8.0
27,02.10.20,03:00,8.0
28,02.10.20,04:00,16.0
29,02.10.20,05:00,63.0
30,02.10.20,06:00,150.0
31,02.10.20,07:00,180.0
32,02.10.20,08:00,233.0
33,02.10.20,09:00,254.0
34,02.10.20,10:00,381.0
35,02.10.20,11:00,459.0
36,02.10.20,12:00,384.0
37,02.10.20,13:00,493.0
38,02.10.20,14:00,712.0
39,02.10.20,15:00,906.0
40,02.10.20,16:00,702.0
41,02.10.20,17:00,525.0
42,02.10.20,18:00,413.0
43,02.10.20,19:00,395.0
44,02.10.20,20:00,267.0
45,02.10.20,21:00,201.0
46,02.10.20,22:00,144.0
47,02.10.20,23:00,82.0
48,03.10.20,00:00,40.0
49,03.10.20,01:00,29.0
50,03.10.20,02:00,18.0
51,03.10.20,03:00,10.0
52,03.10.20,04:00,6.0
53,03.10.20,05:00,31.0
54,03.10.20,06:00,65.0
55,03.10.20,07:00,81.0
56,03.10.20,08:00,146.0
57,03.10.20,09:00,237.0
58,03.10.20,10:00,337.0
59,03.10.20,11:00,406.0
60,03.10.20,12:00,426.0
61,03.10.20,13:00,439.0
62,03.10.20,14:00,361.0
63,03.10.20,15:00,342.0
64,03.10.20,16:00,311.0
65,03.10.20,17:00,308.0
66,03.10.20,18:00,308.0
67,03.10.20,19:00,275.0
68,03.10.20,20:00,246.0
69,03.10.20,21:00,144.0
70,03.10.20,22:00,107.0
71,03.10.20,23:00,66.0
72,04.10.20,00:00,32.0
73,04.10.20,01:00,19.0
74,04.10.20,02:00,16.0
75,04.10.20,03:00,12.0
76,04.10.20,04:00,3.0
77,04.10.20,05:00,13.0
78,04.10.20,06:00,31.0
79,04.10.20,07:00,42.0
80,04.10.20,08:00,76.0
81,04.10.20,09:00,129.0
82,04.10.20,10:00,245.0
83,04.10.20,11:00,250.0
84,04.10.20,12:00,278.0
85,04.10.20,13:00,275.0
86,04.10.20,14:00,256.0
87,04.10.20,15:00,227.0
88,04.10.20,16:00,188.0
89,04.10.20,17:00,184.0
90,04.10.20,18:00,234.0
91,04.10.20,19:00,203.0
92,04.10.20,20:00,146.0
93,04.10.20,21:00,97.0
94,04.10.20,22:00,80.0
95,04.10.20,23:00,33.0
96,05.10.20,00:00,18.0
97,05.10.20,01:00,11.0
98,05.10.20,02:00,7.0
99,05.10.20,03:00,5.0
100,05.10.20,04:00,11.0
101,05.10.20,05:00,60.0
102,05.10.20,06:00,125.0
103,05.10.20,07:00,186.0
104,05.10.20,08:00,191.0
105,05.10.20,09:00,281.0
106,05.10.20,10:00,347.0
107,05.10.20,11:00,377.0
108,05.10.20,12:00,421.0
109,05.10.20,13:00,442.0
110,05.10.20,14:00,645.0
111,05.10.20,15:00,864.0
