route ID	counter ID	r_P	p(r_P)	q(r_P)	r_S	p(r_S)	q(r_S)
0	1016-140	0.77	0.0	0.0	0.79	0.0	0.0
0	1034-216-1	0.8	0.0	0.0	0.82	0.0	0.0
0	1038-276	0.83	0.0	0.0	0.85	0.0	0.0
0	1025-116	0.81	0.0	0.0	0.81	0.0	0.0
1	1016-140	0.73	0.0	0.0	0.74	0.0	0.0
1	1947-211	0.71	0.0	0.0	0.77	0.0	0.0
2	1935-230	0.73	0.0	0.0	0.83	0.0	0.0
3	1014-150	0.96	0.0	0.0	0.93	0.0	0.0
4	1001-156	0.82	0.0	0.0	0.91	0.0	0.0
4	1021-156	0.82	0.0	0.0	0.88	0.0	0.0
5	0174-1	0.56	0.0	0.0	0.88	0.0	0.0
5	0855-1	0.63	0.0	0.0	0.88	0.0	0.0
5	1010-1	0.6	0.0	0.0	0.88	0.0	0.0
